"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2023,"Dortmund","Bundesliga","team",30,25.8,58.2,34,374,3060,34,81,61,142,77,4,6,66,0,71.1,66.5,51.9,118.4,783,1628,2.38,1.79,4.18,2.26,4.06,2.09,1.53,3.62,1.96,3.48,"https://fbref.com/en/squads/add600ae/Dortmund-Stats"
2023,"Dortmund","Bundesliga","opponent",30,26.5,41.8,34,374,3060,34,43,31,74,42,1,1,79,5,43.2,42.4,33.3,75.7,452,1064,1.26,0.91,2.18,1.24,2.15,1.27,0.98,2.25,1.25,2.23,"https://fbref.com/en/squads/add600ae/Dortmund-Stats"
2023,"Eint Frankfurt","Bundesliga","team",28,26.4,52.9,34,374,3060,34,56,33,89,50,6,6,71,1,52.1,47.4,36.2,83.5,632,1372,1.65,0.97,2.62,1.47,2.44,1.53,1.06,2.6,1.39,2.46,"https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats"
2023,"Eint Frankfurt","Bundesliga","opponent",28,26.4,47.1,34,374,3060,34,51,41,92,49,2,2,78,2,43.5,41.9,33.6,75.5,435,1129,1.5,1.21,2.71,1.44,2.65,1.28,0.99,2.27,1.23,2.22,"https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats"
2023,"Elche","La Liga","team",32,28.3,45.5,38,418,3420,38,30,21,51,26,4,5,99,12,37.5,33.6,27.1,60.7,561,1197,0.79,0.55,1.34,0.68,1.24,0.99,0.71,1.7,0.88,1.6,"https://fbref.com/en/squads/6c8b07df/Elche-Stats"
2023,"Elche","La Liga","opponent",32,27.3,54.5,38,418,3420,38,65,44,109,58,7,10,83,8,70,62.1,48.7,110.9,737,1615,1.71,1.16,2.87,1.53,2.68,1.84,1.28,3.13,1.64,2.92,"https://fbref.com/en/squads/6c8b07df/Elche-Stats"
2023,"Empoli","Serie A","team",32,25.3,47.3,38,418,3420,38,35,20,55,33,2,2,88,7,38.8,37.2,26.8,64,608,1114,0.92,0.53,1.45,0.87,1.39,1.02,0.71,1.73,0.98,1.69,"https://fbref.com/en/squads/a3d88bd8/Empoli-Stats"
2023,"Empoli","Serie A","opponent",32,26.7,52.7,38,418,3420,38,48,32,80,44,4,6,84,5,58.3,53.7,40.7,94.4,830,1684,1.26,0.84,2.11,1.16,2,1.53,1.07,2.6,1.41,2.48,"https://fbref.com/en/squads/a3d88bd8/Empoli-Stats"
2023,"Espanyol","La Liga","team",33,27.6,43.1,38,418,3420,38,51,31,82,46,5,5,99,10,48.3,44.4,35,79.4,528,1146,1.34,0.82,2.16,1.21,2.03,1.27,0.92,2.19,1.17,2.09,"https://fbref.com/en/squads/a8661628/Espanyol-Stats"
2023,"Espanyol","La Liga","opponent",33,27.6,56.9,38,418,3420,38,67,47,114,62,5,6,111,8,59.8,55.3,44.6,99.8,748,1634,1.76,1.24,3,1.63,2.87,1.57,1.17,2.75,1.45,2.63,"https://fbref.com/en/squads/a8661628/Espanyol-Stats"
2023,"Everton","Premier League","team",28,26.6,42.8,38,418,3420,38,32,24,56,29,3,3,81,2,45.2,42.8,32.4,75.1,500,1052,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98,"https://fbref.com/en/squads/d3fd31cc/Everton-Stats"
2023,"Everton","Premier League","opponent",28,26.5,57.4,38,418,3420,38,57,36,93,52,5,6,76,1,65.7,61.1,45.7,106.8,752,1678,1.5,0.95,2.45,1.37,2.32,1.73,1.2,2.93,1.61,2.81,"https://fbref.com/en/squads/d3fd31cc/Everton-Stats"
2023,"Fiorentina","Serie A","team",30,26.5,56.1,38,418,3420,38,51,37,88,47,4,6,93,3,55,50.8,40.2,91,789,1627,1.34,0.97,2.32,1.24,2.21,1.45,1.06,2.51,1.34,2.39,"https://fbref.com/en/squads/421387cf/Fiorentina-Stats"
2023,"Fiorentina","Serie A","opponent",30,26.4,43.9,38,418,3420,38,41,28,69,34,7,8,103,7,43.4,37.4,30.7,68.1,476,922,1.08,0.74,1.82,0.89,1.63,1.14,0.81,1.95,0.98,1.79,"https://fbref.com/en/squads/421387cf/Fiorentina-Stats"
2023,"Freiburg","Bundesliga","team",27,27.4,48.1,34,374,3060,34,51,34,85,44,7,8,62,2,48,41.6,28.5,70.1,427,1039,1.5,1,2.5,1.29,2.29,1.41,0.84,2.25,1.22,2.06,"https://fbref.com/en/squads/a486e511/Freiburg-Stats"
2023,"Freiburg","Bundesliga","opponent",27,26.6,51.9,34,374,3060,34,44,28,72,39,5,6,80,5,48.8,44.1,35.2,79.3,527,1220,1.29,0.82,2.12,1.15,1.97,1.44,1.03,2.47,1.3,2.33,"https://fbref.com/en/squads/a486e511/Freiburg-Stats"
2023,"Fulham","Premier League","team",29,28.2,48.8,38,418,3420,38,52,33,85,47,5,9,80,1,46.2,39.1,28.5,67.7,662,1326,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78,"https://fbref.com/en/squads/fd962109/Fulham-Stats"
2023,"Fulham","Premier League","opponent",29,26.7,51.3,38,418,3420,38,51,30,81,44,7,8,57,5,63.8,57.9,43.1,101,558,1406,1.34,0.79,2.13,1.16,1.95,1.68,1.13,2.81,1.52,2.66,"https://fbref.com/en/squads/fd962109/Fulham-Stats"
2023,"Getafe","La Liga","team",25,27.4,39.9,38,418,3420,38,34,21,55,29,5,8,125,9,36.7,30.4,22.5,53,365,1003,0.89,0.55,1.45,0.76,1.32,0.96,0.59,1.56,0.8,1.39,"https://fbref.com/en/squads/7848bd64/Getafe-Stats"
2023,"Getafe","La Liga","opponent",25,27.5,60.1,38,418,3420,38,43,29,72,39,4,8,91,7,46,39.8,31,70.8,689,1519,1.13,0.76,1.89,1.03,1.79,1.21,0.82,2.03,1.05,1.86,"https://fbref.com/en/squads/7848bd64/Getafe-Stats"
2023,"Girona","La Liga","team",29,26,51.3,38,418,3420,38,55,41,96,47,8,9,92,3,50.4,43.6,37.2,80.8,725,1378,1.45,1.08,2.53,1.24,2.32,1.33,0.98,2.31,1.15,2.13,"https://fbref.com/en/squads/9024a00a/Girona-Stats"
2023,"Girona","La Liga","opponent",29,27.2,48.7,38,418,3420,38,55,39,94,49,6,8,91,5,55,48.7,38.6,87.4,677,1439,1.45,1.03,2.47,1.29,2.32,1.45,1.02,2.46,1.28,2.3,"https://fbref.com/en/squads/9024a00a/Girona-Stats"
2023,"Hellas Verona","Serie A","team",36,26.6,41.2,38,418,3420,38,29,22,51,28,1,1,103,3,35.8,35.1,28.1,63.2,503,1063,0.76,0.58,1.34,0.74,1.32,0.94,0.74,1.68,0.92,1.66,"https://fbref.com/en/squads/0e72edf2/Hellas-Verona-Stats"
2023,"Hellas Verona","Serie A","opponent",36,26.6,58.8,38,418,3420,38,56,48,104,55,1,2,69,5,49.9,48.4,39.2,87.6,603,1494,1.47,1.26,2.74,1.45,2.71,1.31,1.03,2.35,1.27,2.3,"https://fbref.com/en/squads/0e72edf2/Hellas-Verona-Stats"
2023,"Hertha BSC","Bundesliga","team",32,26,42,34,374,3060,34,42,23,65,35,7,7,82,1,39.4,33.9,25.3,59.2,413,914,1.24,0.68,1.91,1.03,1.71,1.16,0.74,1.9,1,1.74,"https://fbref.com/en/squads/2818f8bc/Hertha-BSC-Stats"
2023,"Hertha BSC","Bundesliga","opponent",32,26.7,58,34,374,3060,34,69,51,120,64,5,6,47,1,60,55.5,46.3,101.8,535,1328,2.03,1.5,3.53,1.88,3.38,1.76,1.36,3.13,1.63,2.99,"https://fbref.com/en/squads/2818f8bc/Hertha-BSC-Stats"
2023,"Hoffenheim","Bundesliga","team",31,26.8,48.3,34,374,3060,34,46,30,76,39,7,9,80,5,48,41.1,32.4,73.4,457,1175,1.35,0.88,2.24,1.15,2.03,1.41,0.95,2.36,1.21,2.16,"https://fbref.com/en/squads/033ea6b8/Hoffenheim-Stats"
2023,"Hoffenheim","Bundesliga","opponent",31,26.6,51.7,34,374,3060,34,56,45,101,54,2,3,63,2,51.1,48.7,41.8,90.5,604,1338,1.65,1.32,2.97,1.59,2.91,1.5,1.23,2.73,1.43,2.66,"https://fbref.com/en/squads/033ea6b8/Hoffenheim-Stats"
2023,"Inter","Serie A","team",25,28.8,55.7,38,418,3420,38,68,50,118,64,4,5,65,3,68,64.5,51.8,116.3,668,1624,1.79,1.32,3.11,1.68,3,1.79,1.36,3.15,1.7,3.06,"https://fbref.com/en/squads/d609edc0/Internazionale-Stats"
2023,"Inter","Serie A","opponent",25,26.5,44.3,38,418,3420,38,39,34,73,36,3,3,89,1,36.5,34.1,29,63.1,697,1227,1.03,0.89,1.92,0.95,1.84,0.96,0.76,1.72,0.9,1.66,"https://fbref.com/en/squads/d609edc0/Internazionale-Stats"
2023,"Juventus","Serie A","team",29,27.7,49.6,38,418,3420,38,56,41,97,53,3,6,74,6,55.3,50.4,39.8,90.2,673,1394,1.47,1.08,2.55,1.39,2.47,1.45,1.05,2.5,1.33,2.37,"https://fbref.com/en/squads/e0652b02/Juventus-Stats"
2023,"Juventus","Serie A","opponent",29,26.7,50.4,38,418,3420,38,33,25,58,29,4,5,74,2,41.6,37.7,31.4,69.1,744,1357,0.87,0.66,1.53,0.76,1.42,1.09,0.83,1.92,0.99,1.82,"https://fbref.com/en/squads/e0652b02/Juventus-Stats"
2023,"Köln","Bundesliga","team",27,26,49.9,34,374,3060,34,46,31,77,42,4,4,75,3,47.9,44.7,35.1,79.9,522,1247,1.35,0.91,2.26,1.24,2.15,1.41,1.03,2.44,1.32,2.35,"https://fbref.com/en/squads/bc357bf7/Koln-Stats"
2023,"Köln","Bundesliga","opponent",27,26.6,50.1,34,374,3060,34,51,37,88,47,4,5,64,4,42.6,38.7,31.4,70.1,470,1157,1.5,1.09,2.59,1.38,2.47,1.25,0.92,2.18,1.14,2.06,"https://fbref.com/en/squads/bc357bf7/Koln-Stats"
2023,"Lazio","Serie A","team",24,28.6,52.1,38,418,3420,38,59,37,96,53,6,8,86,2,51.1,44.9,34.3,79.2,683,1381,1.55,0.97,2.53,1.39,2.37,1.35,0.9,2.25,1.18,2.08,"https://fbref.com/en/squads/7213da33/Lazio-Stats"
2023,"Lazio","Serie A","opponent",24,26.5,47.9,38,418,3420,38,29,21,50,28,1,2,108,7,41.3,39.8,31.5,71.3,598,1302,0.76,0.55,1.32,0.74,1.29,1.09,0.83,1.92,1.05,1.88,"https://fbref.com/en/squads/7213da33/Lazio-Stats"
2023,"Lecce","Serie A","team",29,24.8,41.3,38,418,3420,38,31,21,52,27,4,6,86,2,36.1,31.4,25.3,56.7,515,1232,0.82,0.55,1.37,0.71,1.26,0.95,0.66,1.61,0.83,1.49,"https://fbref.com/en/squads/ffcbe334/Lecce-Stats"
2023,"Lecce","Serie A","opponent",29,26.7,58.7,38,418,3420,38,43,30,73,38,5,6,90,2,42.1,37.7,31.6,69.2,613,1408,1.13,0.79,1.92,1,1.79,1.11,0.83,1.94,0.99,1.82,"https://fbref.com/en/squads/ffcbe334/Lecce-Stats"
2023,"Leeds United","Premier League","team",29,25.3,47,38,418,3420,38,45,31,76,44,1,3,89,3,47.4,45,31.9,76.9,555,1429,1.18,0.82,2,1.16,1.97,1.25,0.84,2.09,1.18,2.02,"https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats"
2023,"Leeds United","Premier League","opponent",29,26.7,53.1,38,418,3420,38,77,50,127,72,5,6,66,3,67.2,62.5,49.9,112.5,596,1469,2.03,1.32,3.34,1.89,3.21,1.77,1.31,3.08,1.65,2.96,"https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats"
2023,"Leicester City","Premier League","team",28,26.1,47.7,38,418,3420,38,49,36,85,46,3,6,63,2,50.6,45.8,38.5,84.2,580,1304,1.29,0.95,2.24,1.21,2.16,1.33,1.01,2.34,1.2,2.22,"https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats"
2023,"Leicester City","Premier League","opponent",28,26.6,52.4,38,418,3420,38,63,46,109,59,4,5,64,2,63.4,59.9,48,107.9,721,1575,1.66,1.21,2.87,1.55,2.76,1.67,1.26,2.93,1.58,2.84,"https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats"
2023,"Lens","Ligue 1","team",29,26.4,55.6,38,418,3420,38,66,49,115,60,6,9,63,3,66.9,60,47.6,107.6,738,1829,1.74,1.29,3.03,1.58,2.87,1.76,1.25,3.01,1.58,2.83,"https://fbref.com/en/squads/fd4e0f7d/Lens-Stats"
2023,"Lens","Ligue 1","opponent",29,26,44.4,38,418,3420,38,28,19,47,25,3,3,79,3,43.3,40.9,31.5,72.4,544,1268,0.74,0.5,1.24,0.66,1.16,1.14,0.83,1.97,1.08,1.91,"https://fbref.com/en/squads/fd4e0f7d/Lens-Stats"
2023,"Leverkusen","Bundesliga","team",27,24.7,52,34,374,3060,34,57,44,101,52,5,7,75,7,51.4,46,38.9,85,678,1243,1.68,1.29,2.97,1.53,2.82,1.51,1.15,2.66,1.35,2.5,"https://fbref.com/en/squads/c7a9f859/Bayer-Leverkusen-Stats"
2023,"Leverkusen","Bundesliga","opponent",27,26.5,48,34,374,3060,34,47,29,76,40,7,7,95,1,42.8,37.3,28.8,66.1,481,1254,1.38,0.85,2.24,1.18,2.03,1.26,0.85,2.11,1.1,1.94,"https://fbref.com/en/squads/c7a9f859/Bayer-Leverkusen-Stats"
2023,"Lille","Ligue 1","team",26,26,60.5,38,418,3420,38,65,40,105,54,11,12,82,1,68.7,60,46.4,106.5,798,1982,1.71,1.05,2.76,1.42,2.47,1.81,1.22,3.03,1.58,2.8,"https://fbref.com/en/squads/cb188c0c/Lille-Stats"
2023,"Lille","Ligue 1","opponent",26,26.2,39.5,38,418,3420,38,41,26,67,37,4,5,75,6,40.5,36.6,27.8,64.3,513,1060,1.08,0.68,1.76,0.97,1.66,1.07,0.73,1.8,0.96,1.69,"https://fbref.com/en/squads/cb188c0c/Lille-Stats"
2023,"Liverpool","Premier League","team",28,27.4,60.8,38,418,3420,38,71,58,129,69,2,4,57,1,72.6,69.5,56.7,126.1,719,1992,1.87,1.53,3.39,1.82,3.34,1.91,1.49,3.4,1.83,3.32,"https://fbref.com/en/squads/822bd0ba/Liverpool-Stats"
2023,"Liverpool","Premier League","opponent",28,26.6,38.9,38,418,3420,38,45,32,77,43,2,4,59,1,50.9,48.1,37.8,85.8,505,1101,1.18,0.84,2.03,1.13,1.97,1.34,0.99,2.33,1.26,2.26,"https://fbref.com/en/squads/822bd0ba/Liverpool-Stats"
2023,"Lorient","Ligue 1","team",30,25.2,46.6,38,418,3420,38,49,32,81,45,4,6,48,4,44.5,39.8,29.4,69.2,753,1329,1.29,0.84,2.13,1.18,2.03,1.17,0.77,1.94,1.05,1.82,"https://fbref.com/en/squads/d2c87802/Lorient-Stats"
2023,"Lorient","Ligue 1","opponent",30,26.4,53.4,38,418,3420,38,52,36,88,50,2,2,80,4,58.2,56.6,43,99.6,759,2065,1.37,0.95,2.32,1.32,2.26,1.53,1.13,2.66,1.49,2.62,"https://fbref.com/en/squads/d2c87802/Lorient-Stats"
2023,"Lyon","Ligue 1","team",29,25.5,58.1,38,418,3420,38,63,45,108,57,6,8,61,3,61.1,54.8,45.1,99.9,709,1883,1.66,1.18,2.84,1.5,2.68,1.61,1.19,2.8,1.44,2.63,"https://fbref.com/en/squads/d53c0b06/Lyon-Stats"
2023,"Lyon","Ligue 1","opponent",29,26.1,41.9,38,418,3420,38,44,24,68,33,11,11,66,4,51.7,43.1,34.1,77.2,677,1277,1.16,0.63,1.79,0.87,1.5,1.36,0.9,2.26,1.13,2.03,"https://fbref.com/en/squads/d53c0b06/Lyon-Stats"
