URL,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE
https://www.transfermarkt.com/gabriel-slonina/profil/spieler/656316,United States,€9.00m
https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,England,€1.50m
https://www.transfermarkt.com/lucas-bergstrom/profil/spieler/490606,Finland,€250k
https://www.transfermarkt.com/ethan-wady/profil/spieler/573132,United States,NA
https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411,France,€55.00m
https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,France,€40.00m
https://www.transfermarkt.com/trevoh-chalobah/profil/spieler/346314,England,€18.00m
https://www.transfermarkt.com/kalidou-koulibaly/profil/spieler/93128,Senegal,€15.00m
https://www.transfermarkt.com/ethan-ampadu/profil/spieler/392771,Wales,€9.00m
https://www.transfermarkt.com/bashir-humphreys/profil/spieler/612517,England,€3.00m
https://www.transfermarkt.com/thiago-silva/profil/spieler/29241,Brazil,€2.00m
https://www.transfermarkt.com/alfie-gilchrist/profil/spieler/790992,England,NA
https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125,England,€35.00m
https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,Spain,€35.00m
https://www.transfermarkt.com/lewis-hall/profil/spieler/670858,England,€10.00m
https://www.transfermarkt.com/abdul-rahman-baba/profil/spieler/224884,Ghana,€1.20m
https://www.transfermarkt.com/reece-james/profil/spieler/472423,England,€65.00m
https://www.transfermarkt.com/cesar-azpilicueta/profil/spieler/57500,Spain,€5.00m
https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195,Argentina,€80.00m
https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526,Switzerland,€18.00m
https://www.transfermarkt.com/ngolo-kante/profil/spieler/225083,France,€15.00m
https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,Croatia,€38.00m
https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362,England,€32.00m
https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,England,€25.00m
https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459,England,€15.00m
https://www.transfermarkt.com/billy-gilmour/profil/spieler/423744,Scotland,€12.00m
https://www.transfermarkt.com/mason-mount/profil/spieler/346483,England,€60.00m
https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,Germany,€55.00m
https://www.transfermarkt.com/harvey-vale/profil/spieler/581675,England,€2.00m
https://www.transfermarkt.com/omari-hutchinson/profil/spieler/741238,Jamaica,€1.00m
https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,England,€55.00m
https://www.transfermarkt.com/mykhaylo-mudryk/profil/spieler/537860,Ukraine,€50.00m
https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768,England,€15.00m
https://www.transfermarkt.com/noni-madueke/profil/spieler/503987,England,€30.00m
https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779,United States,€25.00m
https://www.transfermarkt.com/hakim-ziyech/profil/spieler/217111,Morocco,€16.00m
https://www.transfermarkt.com/joao-felix/profil/spieler/462250,Portugal,€50.00m
https://www.transfermarkt.com/armando-broja/profil/spieler/571743,Albania,€28.00m
https://www.transfermarkt.com/david-datro-fofana/profil/spieler/787232,Cote d'Ivoire,€10.00m
https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864,Gabon,€4.00m
https://www.transfermarkt.com/dean-henderson/profil/spieler/258919,England,€18.00m
https://www.transfermarkt.com/david-de-gea/profil/spieler/59377,Spain,€13.00m
https://www.transfermarkt.com/matej-kovar/profil/spieler/550829,Czech Republic,€1.80m
https://www.transfermarkt.com/martin-dubravka/profil/spieler/74960,Slovakia,€1.50m
https://www.transfermarkt.com/jack-butland/profil/spieler/128899,England,€1.50m
https://www.transfermarkt.com/tom-heaton/profil/spieler/34130,England,€500k
https://www.transfermarkt.com/nathan-bishop/profil/spieler/495033,England,€300k
https://www.transfermarkt.com/radek-vitek/profil/spieler/622236,Czech Republic,€150k
https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762,Argentina,€50.00m
https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,France,€35.00m
https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,England,€20.00m
https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573,Sweden,€18.00m
https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,England,€4.50m
https://www.transfermarkt.com/teden-mengi/profil/spieler/548470,England,€2.00m
https://www.transfermarkt.com/phil-jones/profil/spieler/117996,England,€1.50m
https://www.transfermarkt.com/tyler-fredricson/profil/spieler/911424,England,€250k
https://www.transfermarkt.com/rhys-bennett/profil/spieler/794816,England,NA
https://www.transfermarkt.com/luke-shaw/profil/spieler/183288,England,€42.00m
https://www.transfermarkt.com/tyrell-malacia/profil/spieler/339340,Netherlands,€22.00m
https://www.transfermarkt.com/brandon-williams/profil/spieler/507700,England,€7.00m
https://www.transfermarkt.com/alvaro-fernandez/profil/spieler/811778,Spain,€7.00m
https://www.transfermarkt.com/diogo-dalot/profil/spieler/357147,Portugal,€40.00m
https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,England,€25.00m
https://www.transfermarkt.com/marc-jurado/profil/spieler/709960,Spain,NA
https://www.transfermarkt.com/casemiro/profil/spieler/16306,Brazil,€40.00m
https://www.transfermarkt.com/scott-mctominay/profil/spieler/315969,Scotland,€25.00m
https://www.transfermarkt.com/james-garner/profil/spieler/505219,England,€14.00m
https://www.transfermarkt.com/christian-eriksen/profil/spieler/69633,Denmark,€22.00m
https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987,Austria,€20.00m
https://www.transfermarkt.com/fred/profil/spieler/191614,Brazil,€20.00m
https://www.transfermarkt.com/donny-van-de-beek/profil/spieler/288255,Netherlands,€13.00m
https://www.transfermarkt.com/zidane-iqbal/profil/spieler/686845,Iraq,€1.00m
