"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2023,"Athletic Club","La Liga","Iñaki Williams","GHA","FW","28",1994,31.5,531,827,64.2,7395,1648,315,403,78.2,160,260,61.5,25,57,43.9,3,4.8,4.1,-1.8,38,24,27,9,61,"https://fbref.com/en/players/6a99e0b1/Inaki-Williams"
2023,"Athletic Club","La Liga","Nico Williams","ESP","FW","20",2002,29.5,634,951,66.7,9342,2394,381,455,83.7,196,289,67.8,42,101,41.6,4,6.4,4.1,-2.4,46,24,36,12,80,"https://fbref.com/en/players/afdc14d7/Nico-Williams"
2023,"Athletic Club","La Liga","Oier Zarraga","ESP","MF","23",1999,9.5,294,379,77.6,4675,1201,154,177,87,120,153,78.4,16,24,66.7,0,1.1,1.1,-1.1,12,36,9,4,37,"https://fbref.com/en/players/968a1c2f/Oier-Zarraga"
2023,"Atlético Madrid","La Liga","Pablo Barrios","ESP","MF","19",2003,8,368,450,81.8,5684,1671,198,217,91.2,134,161,83.2,22,38,57.9,1,0.7,0.5,0.3,4,46,3,0,51,"https://fbref.com/en/players/45736cec/Pablo-Barrios"
2023,"Atlético Madrid","La Liga","Yannick Carrasco","BEL","DF,MF","28",1993,25.7,863,1091,79.1,11833,3379,565,612,92.3,210,277,75.8,42,97,43.3,3,4.1,4.1,-1.1,47,35,36,7,84,"https://fbref.com/en/players/de39485a/Yannick-Carrasco"
2023,"Atlético Madrid","La Liga","Ángel Correa","ARG","FW,MF","27",1995,16.2,406,520,78.1,5237,1201,270,310,87.1,93,118,78.8,16,37,43.2,1,3.5,3.6,-2.5,23,27,19,3,58,"https://fbref.com/en/players/01eb744d/Angel-Correa"
2023,"Atlético Madrid","La Liga","Matheus Cunha","BRA","FW,MF","23",1999,4.2,64,85,75.3,790,203,48,55,87.3,9,13,69.2,3,4,75,2,0.8,0.4,1.2,6,6,2,0,7,"https://fbref.com/en/players/dc62b55d/Matheus-Cunha"
2023,"Atlético Madrid","La Liga","Rodrigo De Paul","ARG","MF","28",1994,21.4,1160,1421,81.6,19936,6409,593,655,90.5,383,455,84.2,144,223,64.6,7,5.6,3.8,1.4,48,145,47,7,182,"https://fbref.com/en/players/162efffd/Rodrigo-De-Paul"
2023,"Atlético Madrid","La Liga","Matt Doherty","IRL","DF","30",1992,0.2,6,9,66.7,81,3,4,5,80,1,1,100,1,3,33.3,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d557d734/Matt-Doherty"
2023,"Atlético Madrid","La Liga","Felipe","BRA","DF","33",1989,2.2,121,132,91.7,2265,847,44,45,97.8,66,72,91.7,10,12,83.3,0,0,0,0,1,15,0,0,20,"https://fbref.com/en/players/51a3c4c8/Felipe"
2023,"Atlético Madrid","La Liga","João Félix","POR","FW,MF","22",1999,7.2,171,228,75,2307,680,98,113,86.7,42,60,70,11,29,37.9,3,1.5,1,1.5,10,14,10,1,27,"https://fbref.com/en/players/8aafd64f/Joao-Felix"
2023,"Atlético Madrid","La Liga","Antonio Gomis","ESP","GK","19",2003,0.1,0,3,0,0,0,0,0,NA,0,0,NA,0,3,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f0f4671c/Antonio-Gomis"
2023,"Atlético Madrid","La Liga","Ivo Grbić","CRO","GK","26",1996,10.2,219,330,66.4,6085,4302,57,58,98.3,81,81,100,80,189,42.3,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3f034750/Ivo-Grbic"
2023,"Atlético Madrid","La Liga","Antoine Griezmann","FRA","FW,MF","31",1991,31.8,1236,1597,77.4,18976,5448,685,774,88.5,384,487,78.9,104,207,50.2,16,13.9,9.8,2.1,84,117,58,13,171,"https://fbref.com/en/players/df69b544/Antoine-Griezmann"
