"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2023,"Atlético Madrid","La Liga","Antonio Gomis","ESP","GK","19",2003,1,0,6,0.1,1,15,1,0,0,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/f0f4671c/Antonio-Gomis"
2023,"Atlético Madrid","La Liga","Ivo Grbić","CRO","GK","26",1996,12,10,922,10.2,12,1.17,48,36,81.3,6,3,1,2,20,3,3,0,0,0,"https://fbref.com/en/players/3f034750/Ivo-Grbic"
2023,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","29",1993,28,28,2492,27.7,20,0.72,79,59,75.9,17,5,6,11,39.3,2,1,0,1,0,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
2023,"Augsburg","Bundesliga","Rafał Gikiewicz","POL","GK","34",1987,23,23,2070,23,41,1.78,136,93,70.6,8,3,12,5,21.7,4,1,2,1,66.7,"https://fbref.com/en/players/17376543/Rafal-Gikiewicz"
2023,"Augsburg","Bundesliga","Tomáš Koubek","CZE","GK","29",1992,11,11,990,11,22,2,65,45,66.2,1,4,6,1,9.1,0,0,0,0,NA,"https://fbref.com/en/players/dc366c36/Tomas-Koubek"
2023,"Auxerre","Ligue 1","Benoît Costil","FRA","GK","35",1987,19,19,1710,19,41,2.16,96,55,60.4,3,4,12,2,10.5,3,3,0,0,0,"https://fbref.com/en/players/2434f24a/Benoit-Costil"
2023,"Auxerre","Ligue 1","Donovan Léon","GUF","GK","29",1992,2,2,180,2,2,1,11,9,90.9,1,1,0,0,0,1,1,0,0,0,"https://fbref.com/en/players/51c83a90/Donovan-Leon"
2023,"Auxerre","Ligue 1","Ionuț Radu","ROU","GK","25",1997,17,17,1530,17,20,1.18,74,53,73,4,6,7,5,29.4,2,0,2,0,100,"https://fbref.com/en/players/67f649be/Ionut-Radu"
2023,"Barcelona","La Liga","Iñaki Peña","ESP","GK","23",1999,2,0,73,0.8,2,2.47,4,2,50,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/cc1c5035/Inaki-Pena"
2023,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","30",1992,38,38,3347,37.2,18,0.48,98,83,84.7,28,4,6,26,68.4,3,3,0,0,0,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
2023,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","36",1986,12,12,1080,12,11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,0,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
2023,"Bayern Munich","Bundesliga","Yann Sommer","SUI","GK","33",1988,19,19,1710,19,25,1.32,55,30,67.3,11,4,4,5,26.3,7,7,0,0,0,"https://fbref.com/en/players/420c18a1/Yann-Sommer"
2023,"Bayern Munich","Bundesliga","Sven Ulreich","GER","GK","33",1988,3,3,270,3,2,0.67,8,5,75,3,0,0,2,66.7,1,0,1,0,100,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
2023,"Betis","La Liga","Claudio Bravo","CHI","GK","39",1983,12,12,1080,12,9,0.75,42,33,81,5,5,2,4,33.3,1,1,0,0,0,"https://fbref.com/en/players/10072610/Claudio-Bravo"
2023,"Betis","La Liga","Rui Silva","POR","GK","28",1994,26,26,2340,26,32,1.23,104,73,71.2,12,4,10,9,34.6,2,2,0,0,0,"https://fbref.com/en/players/ea83bfa6/Rui-Silva"
