"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2023,"Mallorca","La Liga","Dominik Greif","SVK","GK","25",1997,1,1,90,1,3,3,8,5,62.5,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/30061f53/Dominik-Greif"
2023,"Mallorca","La Liga","Predrag Rajković","SRB","GK","26",1995,36,36,3240,36,40,1.11,133,92,74.4,13,8,15,12,33.3,7,6,1,0,14.3,"https://fbref.com/en/players/58ad9383/Predrag-Rajkovic"
2023,"Mallorca","La Liga","Leonardo Román","ESP","GK","22",2000,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/924ff27e/Leonardo-Roman"
2023,"Manchester City","Premier League","Ederson","BRA","GK","28",1993,35,35,3150,35,32,0.91,77,46,62.3,26,4,5,11,31.4,3,3,0,0,0,"https://fbref.com/en/players/3bb7b8b4/Ederson"
2023,"Manchester City","Premier League","Stefan Ortega","GER","GK","29",1992,3,3,270,3,1,0.33,15,14,93.3,2,1,0,2,66.7,0,0,0,0,NA,"https://fbref.com/en/players/c1242d4e/Stefan-Ortega"
2023,"Manchester Utd","Premier League","David de Gea","ESP","GK","31",1990,38,38,3420,38,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3,"https://fbref.com/en/players/7ba6d84e/David-de-Gea"
2023,"Marseille","Ligue 1","Rubén Blanco","ESP","GK","27",1995,6,6,495,5.5,6,1.09,19,15,68.4,1,3,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/967f34d3/Ruben-Blanco"
2023,"Marseille","Ligue 1","Pau López","ESP","GK","27",1994,33,32,2925,32.5,34,1.05,123,90,76.4,21,4,7,10,31.3,5,5,0,0,0,"https://fbref.com/en/players/20b9f052/Pau-Lopez"
2023,"Milan","Serie A","Mike Maignan","FRA","GK","27",1995,22,22,1978,22,21,0.96,62,40,69.4,11,7,4,8,36.4,3,2,1,0,33.3,"https://fbref.com/en/players/fcb38f57/Mike-Maignan"
2023,"Milan","Serie A","Antonio Mirante","ITA","GK","39",1983,1,0,2,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/30223b33/Antonio-Mirante"
2023,"Milan","Serie A","Ciprian Tătărușanu","ROU","GK","36",1986,16,16,1440,16,22,1.37,61,40,67.2,9,3,4,4,25,2,2,0,0,0,"https://fbref.com/en/players/b056e3da/Ciprian-Tatarusanu"
2023,"Monaco","Ligue 1","Alexander Nübel","GER","GK","25",1996,38,38,3420,38,58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0,"https://fbref.com/en/players/afb0c500/Alexander-Nubel"
2023,"Montpellier","Ligue 1","Matis Carvalho","POR","GK","23",1999,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100,0,0,0,0,NA,"https://fbref.com/en/players/8608f269/Matis-Carvalho"
2023,"Montpellier","Ligue 1","Bingourou Kamara","SEN","GK","25",1996,5,4,408,4.5,11,2.43,25,13,60,0,1,3,0,0,3,1,1,1,50,"https://fbref.com/en/players/3814120d/Bingourou-Kamara"
2023,"Montpellier","Ligue 1","Benjamin Lecomte","FRA","GK","31",1991,19,19,1710,19,22,1.16,96,72,79.2,10,3,6,8,42.1,4,2,2,0,50,"https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte"
2023,"Montpellier","Ligue 1","Jonas Omlin","SUI","GK","28",1994,14,14,1166,13,26,2.01,73,48,68.5,5,1,8,2,14.3,4,3,1,0,25,"https://fbref.com/en/players/c631f952/Jonas-Omlin"
2023,"Monza","Serie A","Alessio Cragno","ITA","GK","28",1994,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/f554e29b/Alessio-Cragno"
2023,"Monza","Serie A","Michele Di Gregorio","ITA","GK","25",1997,37,37,3330,37,49,1.32,167,119,72.5,14,10,13,10,27,3,3,0,0,0,"https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio"
2023,"Nantes","Ligue 1","Rémy Descamps","FRA","GK","26",1996,1,1,90,1,1,1,6,5,83.3,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/477e50ce/Remy-Descamps"
2023,"Nantes","Ligue 1","Alban Lafont","FRA","GK","23",1999,37,37,3329,37,54,1.46,179,129,74.9,7,14,16,11,29.7,9,9,0,0,0,"https://fbref.com/en/players/4e7db402/Alban-Lafont"
2023,"Napoli","Serie A","Pierluigi Gollini","ITA","GK","27",1995,4,4,360,4,4,1,16,12,75,2,1,1,2,50,0,0,0,0,NA,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
2023,"Napoli","Serie A","Alex Meret","ITA","GK","25",1997,34,34,3060,34,24,0.71,91,66,74.7,26,5,3,16,47.1,2,1,1,0,50,"https://fbref.com/en/players/9413b19f/Alex-Meret"
2023,"Newcastle Utd","Premier League","Martin Dúbravka","SVK","GK","33",1989,2,1,157,1.7,1,0.57,9,9,88.9,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/3a949a25/Martin-Dubravka"
2023,"Newcastle Utd","Premier League","Nick Pope","ENG","GK","30",1992,37,37,3261,36.2,32,0.88,118,85,74.6,19,13,5,14,37.8,5,2,2,1,50,"https://fbref.com/en/players/4b40d9ca/Nick-Pope"
2023,"Nice","Ligue 1","Marcin Bułka","POL","GK","22",1999,2,2,180,2,2,1,6,4,66.7,0,1,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/db87a2c4/Marcin-Bulka"
2023,"Nice","Ligue 1","Kasper Schmeichel","DEN","GK","35",1986,36,36,3240,36,35,0.97,141,105,77.3,15,12,9,11,30.6,5,3,1,1,25,"https://fbref.com/en/players/53af52f3/Kasper-Schmeichel"
2023,"Nott'ham Forest","Premier League","Dean Henderson","ENG","GK","25",1997,18,18,1620,18,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson"
2023,"Nott'ham Forest","Premier League","Wayne Hennessey","WAL","GK","35",1987,4,3,271,3,5,1.66,14,9,64.3,0,2,1,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/76eca7e2/Wayne-Hennessey"
2023,"Nott'ham Forest","Premier League","Keylor Navas","CRC","GK","35",1986,17,17,1529,17,32,1.88,83,51,66.3,4,4,9,1,5.9,4,4,0,0,0,"https://fbref.com/en/players/ecada4fc/Keylor-Navas"
2023,"Osasuna","La Liga","Aitor Fernández","ESP","GK","31",1991,21,21,1890,21,19,0.9,77,59,75.3,10,5,6,8,38.1,0,0,0,0,NA,"https://fbref.com/en/players/a01c3d54/Aitor-Fernandez"
2023,"Osasuna","La Liga","Sergio Herrera","ESP","GK","29",1993,17,17,1530,17,23,1.35,71,48,69,5,3,9,3,17.6,4,1,1,2,50,"https://fbref.com/en/players/a4995f48/Sergio-Herrera"
2023,"Paris S-G","Ligue 1","Gianluigi Donnarumma","ITA","GK","23",1999,38,38,3409,37.9,40,1.06,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3,"https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma"
2023,"Paris S-G","Ligue 1","Alexandre Letellier","FRA","GK","31",1990,1,0,11,0.1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/96fcd380/Alexandre-Letellier"
2023,"RB Leipzig","Bundesliga","Janis Blaswich","GER","GK","31",1991,26,26,2340,26,29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,0,14.3,"https://fbref.com/en/players/663e080e/Janis-Blaswich"
2023,"RB Leipzig","Bundesliga","Péter Gulácsi","HUN","GK","32",1990,6,6,540,6,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0,"https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi"
2023,"RB Leipzig","Bundesliga","Ørjan Nyland","NOR","GK","31",1990,2,2,180,2,2,1,5,4,60,2,0,0,1,50,0,0,0,0,NA,"https://fbref.com/en/players/bdedffac/Orjan-Nyland"
2023,"Rayo Vallecano","La Liga","Stole Dimitrievski","MKD","GK","28",1993,37,37,3324,36.9,49,1.33,139,94,67.6,13,10,14,9,24.3,5,4,0,1,0,"https://fbref.com/en/players/fc70e345/Stole-Dimitrievski"
2023,"Rayo Vallecano","La Liga","Diego López","ESP","GK","40",1981,2,1,96,1.1,4,3.75,5,1,20,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/73683fa9/Diego-Lopez"
2023,"Real Madrid","La Liga","Thibaut Courtois","BEL","GK","30",1992,31,31,2790,31,29,0.94,118,88,78.8,20,5,6,10,32.3,5,4,1,0,20,"https://fbref.com/en/players/1840e36d/Thibaut-Courtois"
2023,"Real Madrid","La Liga","Andriy Lunin","UKR","GK","23",1999,7,7,630,7,7,1,18,12,61.1,4,1,2,3,42.9,0,0,0,0,NA,"https://fbref.com/en/players/3061e1ec/Andriy-Lunin"
2023,"Real Sociedad","La Liga","Álex Remiro","ESP","GK","27",1995,38,38,3420,38,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50,"https://fbref.com/en/players/374ee424/Alex-Remiro"
2023,"Reims","Ligue 1","Yehvann Diouf","FRA","GK","22",1999,31,31,2790,31,31,1,137,107,78.1,11,12,8,14,45.2,1,1,0,0,0,"https://fbref.com/en/players/eedea60b/Yehvann-Diouf"
2023,"Reims","Ligue 1","Patrick Pentz","AUT","GK","25",1997,7,7,630,7,14,2,29,16,58.6,1,3,3,0,0,2,2,0,0,0,"https://fbref.com/en/players/0810b6df/Patrick-Pentz"
2023,"Rennes","Ligue 1","Doğan Alemdar","TUR","GK","19",2002,6,4,406,4.5,8,1.77,16,7,56.3,2,0,2,1,25,2,1,1,0,50,"https://fbref.com/en/players/9e17ccff/Dogan-Alemdar"
2023,"Rennes","Ligue 1","Steve Mandanda","FRA","GK","37",1985,34,34,3014,33.5,31,0.93,110,79,73.6,19,5,10,12,35.3,3,2,1,0,33.3,"https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda"
2023,"Roma","Serie A","Rui Patrício","POR","GK","34",1988,35,35,3150,35,35,1,108,73,69.4,17,8,10,13,37.1,3,2,1,0,33.3,"https://fbref.com/en/players/79b0d6a0/Rui-Patricio"
2023,"Roma","Serie A","Mile Svilar","SRB","GK","22",1999,3,3,270,3,3,1,10,7,70,1,1,1,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/bcf5058a/Mile-Svilar"
2023,"Salernitana","Serie A","Vincenzo Fiorillo","ITA","GK","32",1990,1,1,90,1,2,2,4,2,50,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/a2565f79/Vincenzo-Fiorillo"
2023,"Salernitana","Serie A","Guillermo Ochoa","MEX","GK","37",1985,20,20,1800,20,33,1.65,105,71,71.4,4,10,6,4,20,4,3,1,0,25,"https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa"
2023,"Salernitana","Serie A","Luigi Sepe","ITA","GK","31",1991,17,17,1530,17,27,1.59,87,57,73.6,4,5,8,3,17.6,7,4,3,0,42.9,"https://fbref.com/en/players/343f753a/Luigi-Sepe"
2023,"Sampdoria","Serie A","Emil Audero","ITA","GK","25",1997,25,25,2250,25,39,1.56,121,82,71.9,2,6,17,4,16,7,5,2,0,28.6,"https://fbref.com/en/players/649b01d8/Emil-Audero"
2023,"Sampdoria","Serie A","Nicola Ravaglia","ITA","GK","33",1988,9,9,810,9,23,2.56,64,41,67.2,0,3,6,0,0,2,2,0,0,0,"https://fbref.com/en/players/d7a35008/Nicola-Ravaglia"
2023,"Sampdoria","Serie A","Martin Turk","SVN","GK","18",2003,4,4,360,4,9,2.25,30,21,73.3,1,1,2,0,0,2,1,0,1,0,"https://fbref.com/en/players/14ae023f/Martin-Turk"
2023,"Sassuolo","Serie A","Andrea Consigli","ITA","GK","35",1987,35,35,3150,35,55,1.57,117,64,55.6,12,8,15,9,25.7,3,3,0,0,0,"https://fbref.com/en/players/8cabdc1e/Andrea-Consigli"
2023,"Sassuolo","Serie A","Gianluca Pegolo","ITA","GK","41",1981,2,2,180,2,3,1.5,6,3,66.7,0,1,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/f058ed1f/Gianluca-Pegolo"
2023,"Sassuolo","Serie A","Alessandro Russo","ITA","GK","21",2001,1,1,90,1,3,3,7,4,57.1,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/3945ac70/Alessandro-Russo"
2023,"Schalke 04","Bundesliga","Ralf Fährmann","GER","GK","33",1988,12,12,1025,11.4,13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,1,0,"https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann"
2023,"Schalke 04","Bundesliga","Alexander Schwolow","GER","GK","30",1992,23,22,2035,22.6,58,2.57,138,80,60.9,4,4,14,2,9.1,4,4,0,0,0,"https://fbref.com/en/players/0d55d942/Alexander-Schwolow"
2023,"Sevilla","La Liga","Yassine Bounou","MAR","GK","31",1991,25,25,2151,23.9,41,1.72,106,66,63.2,7,6,12,4,16,3,2,1,0,33.3,"https://fbref.com/en/players/f6798fc3/Yassine-Bounou"
2023,"Sevilla","La Liga","Marko Dmitrović","SRB","GK","30",1992,15,13,1269,14.1,13,0.92,55,43,76.4,6,4,3,5,38.5,0,0,0,0,NA,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic"
2023,"Southampton","Premier League","Gavin Bazunu","IRL","GK","20",2002,32,32,2880,32,56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,0,50,"https://fbref.com/en/players/c91441dc/Gavin-Bazunu"
2023,"Southampton","Premier League","Alex McCarthy","ENG","GK","32",1989,6,6,540,6,17,2.83,30,14,46.7,0,1,5,0,0,1,1,0,0,0,"https://fbref.com/en/players/36c2ca73/Alex-McCarthy"
2023,"Spezia","Serie A","Bartłomiej Drągowski","POL","GK","24",1997,34,34,2946,32.7,54,1.65,164,112,69.5,6,10,18,6,17.6,6,4,1,1,20,"https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski"
2023,"Spezia","Serie A","Federico Marchetti","ITA","GK","39",1983,1,0,66,0.7,2,2.73,3,1,33.3,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/f794b426/Federico-Marchetti"
2023,"Spezia","Serie A","Jeroen Zoet","NED","GK","31",1991,5,4,334,3.7,4,1.08,13,9,76.9,0,3,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/cc1a0c57/Jeroen-Zoet"
2023,"Spezia","Serie A","Petar Zovko","BIH","GK","20",2002,1,0,74,0.8,2,2.43,3,1,33.3,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/54f6afe3/Petar-Zovko"
2023,"Strasbourg","Ligue 1","Matz Sels","BEL","GK","30",1992,38,38,3420,38,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0,"https://fbref.com/en/players/834b5c4c/Matz-Sels"
2023,"Stuttgart","Bundesliga","Fabian Bredlow","GER","GK","27",1995,15,15,1350,15,23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,0,"https://fbref.com/en/players/d28339cb/Fabian-Bredlow"
2023,"Stuttgart","Bundesliga","Florian Müller","GER","GK","24",1997,19,19,1710,19,34,1.79,87,53,62.1,3,7,9,1,5.3,1,1,0,0,0,"https://fbref.com/en/players/cbac6ec9/Florian-Muller"
2023,"Torino","Serie A","Vanja Milinković-Savić","SRB","GK","25",1997,38,38,3420,38,41,1.08,136,95,73.5,14,11,13,11,28.9,6,5,0,1,0,"https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic"
2023,"Tottenham","Premier League","Fraser Forster","ENG","GK","34",1988,14,13,1215,13.5,24,1.78,55,30,60,5,3,5,3,23.1,3,2,1,0,33.3,"https://fbref.com/en/players/c3e39f12/Fraser-Forster"
2023,"Tottenham","Premier League","Hugo Lloris","FRA","GK","35",1986,25,25,2205,24.5,39,1.59,117,79,67.5,13,3,9,7,28,1,1,0,0,0,"https://fbref.com/en/players/8f62b6ee/Hugo-Lloris"
2023,"Toulouse","Ligue 1","Maxime Dupé","FRA","GK","29",1993,38,38,3420,38,57,1.5,179,122,70.4,13,9,16,9,23.7,7,4,3,0,42.9,"https://fbref.com/en/players/0e12089d/Maxime-Dupe"
2023,"Troyes","Ligue 1","Gauthier Gallon","FRA","GK","29",1993,30,30,2667,29.6,65,2.19,177,114,66.1,3,9,18,0,0,5,5,0,0,0,"https://fbref.com/en/players/db3164e1/Gauthier-Gallon"
2023,"Troyes","Ligue 1","Mateusz Lis","POL","GK","25",1997,9,8,751,8.3,16,1.92,51,34,72.5,1,3,4,1,12.5,3,2,1,0,33.3,"https://fbref.com/en/players/fd78b105/Mateusz-Lis"
2023,"Udinese","Serie A","Marco Silvestri","ITA","GK","31",1991,38,38,3420,38,48,1.26,137,91,69.3,11,13,14,10,26.3,7,6,0,1,0,"https://fbref.com/en/players/0d422df7/Marco-Silvestri"
2023,"Union Berlin","Bundesliga","Lennart Grill","GER","GK","23",1999,5,5,450,5,11,2.2,25,14,64,2,1,2,2,40,2,2,0,0,0,"https://fbref.com/en/players/37998008/Lennart-Grill"
2023,"Union Berlin","Bundesliga","Frederik Rønnow","DEN","GK","29",1992,29,29,2610,29,27,0.93,119,92,81.5,16,7,6,11,37.9,5,5,0,0,0,"https://fbref.com/en/players/a70b8345/Frederik-Ronnow"
2023,"Valencia","La Liga","Giorgi Mamardashvili","GEO","GK","21",2000,38,38,3420,38,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0,"https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili"
2023,"Valladolid","La Liga","Álvaro Aceves","ESP","GK","19",2003,1,0,13,0.1,0,0,3,3,100,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/be6faae0/Alvaro-Aceves"
2023,"Valladolid","La Liga","Sergio Asenjo","ESP","GK","33",1989,10,10,900,10,21,2.1,51,30,60.8,2,2,6,1,10,1,1,0,0,0,"https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo"
2023,"Valladolid","La Liga","Jordi Masip","ESP","GK","33",1989,28,28,2507,27.9,42,1.51,145,101,74.5,9,5,14,8,28.6,9,5,3,1,37.5,"https://fbref.com/en/players/8fae77ea/Jordi-Masip"
2023,"Villarreal","La Liga","Filip Jørgensen","DEN","GK","20",2002,2,2,180,2,3,1.5,6,3,50,0,1,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/0107757e/Filip-Jorgensen"
2023,"Villarreal","La Liga","Pepe Reina","ESP","GK","39",1982,22,22,1980,22,27,1.23,87,61,73.6,13,3,6,5,22.7,4,4,0,0,0,"https://fbref.com/en/players/e358587b/Pepe-Reina"
2023,"Villarreal","La Liga","Gerónimo Rulli","ARG","GK","30",1992,14,14,1260,14,10,0.71,56,46,82.1,6,3,5,7,50,0,0,0,0,NA,"https://fbref.com/en/players/625c144a/Geronimo-Rulli"
2023,"Werder Bremen","Bundesliga","Jiří Pavlenka","CZE","GK","30",1992,33,33,2908,32.3,61,1.89,170,110,65.3,10,5,18,4,12.1,3,2,1,0,33.3,"https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka"
2023,"Werder Bremen","Bundesliga","Michael Zetterer","GER","GK","27",1995,2,1,152,1.7,3,1.78,14,11,78.6,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/9b688ae1/Michael-Zetterer"
2023,"West Ham","Premier League","Alphonse Areola","FRA","GK","29",1993,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50,2,2,0,0,0,"https://fbref.com/en/players/2f965a72/Alphonse-Areola"
2023,"West Ham","Premier League","Łukasz Fabiański","POL","GK","37",1985,36,36,3111,34.6,48,1.39,154,106,70.1,11,6,19,8,22.2,4,2,1,1,33.3,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
2023,"Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","30",1992,34,34,3060,34,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20,"https://fbref.com/en/players/db401046/Koen-Casteels"
2023,"Wolves","Premier League","Daniel Bentley","ENG","GK","29",1993,2,2,180,2,3,1.5,13,10,76.9,0,1,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/68db6358/Daniel-Bentley"
2023,"Wolves","Premier League","José Sá","POR","GK","29",1993,36,36,3240,36,55,1.53,161,105,67.1,11,7,18,11,30.6,4,2,2,0,50,"https://fbref.com/en/players/903b6e8b/Jose-Sa"
