"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2023,"Ajaccio","Ligue 1","Vincent Marchetti","FRA","MF","25",1997,27.2,0,37,9,24.3,1.36,0.33,0,0,22.8,1,0,0,2.3,2.3,0.06,-2.3,-2.3,"https://fbref.com/en/players/740f00ac/Vincent-Marchetti"
2023,"Ajaccio","Ligue 1","Fernand Mayembo","CGO","DF","26",1996,7.9,0,4,0,0,0.51,0,0,NA,6.2,0,0,0,1.2,1.2,0.29,-1.2,-1.2,"https://fbref.com/en/players/b20cc590/Fernand-Mayembo"
2023,"Ajaccio","Ligue 1","Bevic Moussiti-Oko","CGO","FW","27",1995,7.8,1,20,7,35,2.58,0.9,0.05,0.14,12.6,0,0,0,1.8,1.8,0.09,-0.8,-0.8,"https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko"
2023,"Ajaccio","Ligue 1","Riad Nouri","FRA","MF,FW","37",1985,18.8,1,16,4,25,0.85,0.21,0.06,0.25,16.4,0,0,1,2.4,1.6,0.1,-1.4,-0.6,"https://fbref.com/en/players/374fbf7d/Riad-Nouri"
2023,"Ajaccio","Ligue 1","Mehdi Puch Herrantz","FRA","MF","18",2004,0.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/7be7c08b/Mehdi-Puch-Herrantz"
2023,"Ajaccio","Ligue 1","Ghjuvanni Quilichini","FRA","GK","19",2002,0.9,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini"
2023,"Ajaccio","Ligue 1","François-Joseph Sollacaro","FRA","GK","28",1994,6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro"
2023,"Ajaccio","Ligue 1","Moussa Soumano","FRA","FW","17",2005,5.5,1,6,2,33.3,1.09,0.36,0.17,0.5,17.5,0,0,0,0.5,0.5,0.09,0.5,0.5,"https://fbref.com/en/players/86a49468/Moussa-Soumano"
2023,"Ajaccio","Ligue 1","Kevin Spadanuda","SUI","MF,FW","25",1997,11.8,0,7,1,14.3,0.59,0.08,0,0,14.2,0,0,0,0.7,0.7,0.1,-0.7,-0.7,"https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda"
2023,"Ajaccio","Ligue 1","Tony Strata","FRA","MF,DF","17",2004,1.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/4ca4f263/Tony-Strata"
2023,"Ajaccio","Ligue 1","Yoann Touzghar","TUN","FW","35",1986,5,0,3,0,0,0.6,0,0,NA,11.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,"https://fbref.com/en/players/4e47507a/Yoann-Touzghar"
2023,"Ajaccio","Ligue 1","Clément Vidal","FRA","DF,MF","22",2000,21.1,1,12,2,16.7,0.57,0.09,0.08,0.5,10.8,0,0,0,0.8,0.8,0.06,0.2,0.2,"https://fbref.com/en/players/b2791a55/Clement-Vidal"
2023,"Ajaccio","Ligue 1","Mohamed Youssouf","COM","DF","34",1988,27.3,0,5,1,20,0.18,0.04,0,0,18.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,"https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf"
2023,"Almería","La Liga","Sergio Akieme","ESP","DF","24",1997,25.5,1,23,7,30.4,0.9,0.27,0.04,0.14,20.2,0,0,0,1.5,1.5,0.07,-0.5,-0.5,"https://fbref.com/en/players/06efa9dc/Sergio-Akieme"
2023,"Almería","La Liga","Srđan Babić","SRB","DF","26",1996,33.3,3,9,5,55.6,0.27,0.15,0.33,0.6,10.1,0,0,0,1.2,1.2,0.13,1.8,1.8,"https://fbref.com/en/players/075fe5a3/Srdjan-Babic"
2023,"Almería","La Liga","Léo Baptistão","BRA","FW,MF","29",1992,19.2,5,45,16,35.6,2.35,0.83,0.11,0.31,14.9,0,0,0,4.9,4.9,0.11,0.1,0.1,"https://fbref.com/en/players/35f6db55/Leo-Baptistao"
2023,"Almería","La Liga","El Bilal Touré","MLI","FW","20",2001,14,7,29,14,48.3,2.06,1,0.24,0.5,11.5,0,0,0,6.3,6.3,0.22,0.7,0.7,"https://fbref.com/en/players/47c609d5/El-Bilal-Toure"
2023,"Almería","La Liga","Juan Brandáriz","ESP","DF","23",1999,16.5,1,3,1,33.3,0.18,0.06,0.33,1,10.2,0,0,0,0.4,0.4,0.13,0.6,0.6,"https://fbref.com/en/players/2475cf9b/Juan-Brandariz"
2023,"Almería","La Liga","José Carlos Lazo","ESP","MF,FW","26",1996,0.2,0,2,1,50,9,4.5,0,0,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,"https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo"
2023,"Almería","La Liga","Álex Centelles","ESP","DF","24",1997,12.5,1,5,2,40,0.4,0.16,0.2,0.5,21.2,0,0,0,0.4,0.4,0.08,0.6,0.6,"https://fbref.com/en/players/ae852b7d/Alex-Centelles"
2023,"Almería","La Liga","Samu Costa","POR","MF","21",2000,22.1,1,20,7,35,0.9,0.32,0.05,0.14,20,2,0,0,1.7,1.7,0.08,-0.7,-0.7,"https://fbref.com/en/players/76c2a023/Samu-Costa"
2023,"Almería","La Liga","Curro","ESP","MF","26",1996,0.5,0,1,1,100,2.09,2.09,0,0,15.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,"https://fbref.com/en/players/f9a225f5/Curro"
