URL,GA,SOTA,SAVES,W,D,L,CS,PKATT_PENALTY,PKA_PENALTY,PKSV_PENALTY,PKM_PENALTY
https://fbref.com/en/players/3a949a25/Martin-Dubravka,1.0,9.0,9.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/3bb7b8b4/Ederson,32.0,77.0,46.0,26,4.0,5.0,11.0,3.0,3.0,0.0,0.0
https://fbref.com/en/players/3d214e5f/Marco-Bizot,54.0,176.0,122.0,11,10.0,16.0,8.0,9.0,7.0,2.0,0.0
https://fbref.com/en/players/3f034750/Ivo-Grbic,12.0,48.0,36.0,6,3.0,1.0,2.0,3.0,3.0,0.0,0.0
https://fbref.com/en/players/3f6c3ae0/Tjark-Ernst,1.0,7.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/3f847d95/Joseph-Whitworth,5.0,10.0,5.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/420c18a1/Yann-Sommer,39.0,115.0,77.0,15,8.0,6.0,8.0,9.0,9.0,0.0,0.0
https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,43.0,136.0,94.0,26,6.0,6.0,14.0,5.0,3.0,0.0,2.0
https://fbref.com/en/players/47064058/Oliver-Baumann,57.0,161.0,105.0,10,6.0,18.0,5.0,3.0,2.0,0.0,1.0
https://fbref.com/en/players/477e50ce/Remy-Descamps,1.0,6.0,5.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/4806ec67/Jordan-Pickford,57.0,181.0,123.0,7,12.0,18.0,8.0,6.0,5.0,1.0,0.0
https://fbref.com/en/players/4b40d9ca/Nick-Pope,32.0,118.0,85.0,19,13.0,5.0,14.0,5.0,2.0,2.0,1.0
https://fbref.com/en/players/4c62d0c8/Mattia-Perin,7.0,40.0,32.0,5,3.0,2.0,6.0,2.0,1.0,1.0,0.0
https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio,49.0,167.0,119.0,14,10.0,13.0,10.0,3.0,3.0,0.0,0.0
https://fbref.com/en/players/4e7db402/Alban-Lafont,54.0,179.0,129.0,7,14.0,16.0,11.0,9.0,9.0,0.0,0.0
https://fbref.com/en/players/51c83a90/Donovan-Leon,2.0,11.0,9.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/53af52f3/Kasper-Schmeichel,35.0,141.0,105.0,15,12.0,9.0,11.0,5.0,3.0,1.0,1.0
https://fbref.com/en/players/54f6afe3/Petar-Zovko,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,40.0,133.0,92.0,13,8.0,15.0,12.0,7.0,6.0,1.0,0.0
https://fbref.com/en/players/5c4bf6ba/Robin-Zentner,39.0,109.0,69.0,9,8.0,9.0,7.0,5.0,3.0,1.0,1.0
https://fbref.com/en/players/5dcf3e90/Unai-Simon,37.0,104.0,70.0,13,6.0,12.0,9.0,3.0,3.0,0.0,0.0
https://fbref.com/en/players/60d90c55/Brice-Samba,28.0,125.0,98.0,24,9.0,4.0,15.0,3.0,3.0,0.0,0.0
https://fbref.com/en/players/62124972/Ouparine-Djoco,2.0,3.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/625c144a/Geronimo-Rulli,10.0,56.0,46.0,6,3.0,5.0,7.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher,4.0,10.0,6.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/63d17038/Paulo-Gazzaniga,37.0,125.0,87.0,11,8.0,9.0,4.0,6.0,4.0,1.0,1.0
https://fbref.com/en/players/649b01d8/Emil-Audero,39.0,121.0,82.0,2,6.0,17.0,4.0,7.0,5.0,2.0,0.0
https://fbref.com/en/players/663e080e/Janis-Blaswich,29.0,75.0,45.0,16,4.0,6.0,7.0,7.0,6.0,1.0,0.0
https://fbref.com/en/players/67f649be/Ionut-Radu,39.0,138.0,98.0,4,9.0,13.0,6.0,5.0,3.0,2.0,0.0
https://fbref.com/en/players/688b96e3/Juan-Carlos,18.0,43.0,25.0,2,2.0,6.0,0.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/68db6358/Daniel-Bentley,3.0,13.0,10.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
