URL,CMP_TOTAL,ATT_TOTAL,TOTDIST_TOTAL,PRGDIST_TOTAL,KP,FINAL_THIRD,PPA,CRSPA
https://fbref.com/en/players/0420d84f/Seamus-Coleman,597.0,789.0,9624.0,3826.0,4.0,35.0,18.0,7.0
https://fbref.com/en/players/042e8a49/Kingsley-Coman,640.0,806.0,10106.0,2128.0,42.0,26.0,44.0,17.0
https://fbref.com/en/players/0442183b/Nathaniel-Clyne,654.0,832.0,10205.0,3887.0,7.0,51.0,6.0,5.0
https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro,1495.0,1811.0,21673.0,8387.0,58.0,135.0,54.0,11.0
https://fbref.com/en/players/04965583/Aleix-Vidal,279.0,384.0,4979.0,1379.0,15.0,19.0,10.0,4.0
https://fbref.com/en/players/049751d7/Andras-Schafer,205.0,274.0,3141.0,695.0,3.0,22.0,4.0,1.0
https://fbref.com/en/players/049a888d/Mykhailo-Mudryk,161.0,216.0,2112.0,668.0,10.0,10.0,10.0,0.0
https://fbref.com/en/players/04ac78d2/Bamo-Meite,838.0,936.0,14114.0,5481.0,1.0,25.0,1.0,0.0
https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,240.0,359.0,2822.0,790.0,15.0,17.0,3.0,0.0
https://fbref.com/en/players/04df29a5/Lorenzo-Colombo,208.0,332.0,2639.0,568.0,17.0,14.0,6.0,2.0
https://fbref.com/en/players/04e17fd5/Youssef-En-Nesyri,156.0,241.0,2202.0,328.0,10.0,4.0,1.0,0.0
https://fbref.com/en/players/04e531b6/Pablo-Torre,77.0,98.0,1026.0,294.0,4.0,9.0,3.0,0.0
https://fbref.com/en/players/0512a60a/Ismael-Doukoure,910.0,1106.0,17110.0,6266.0,4.0,99.0,9.0,2.0
https://fbref.com/en/players/05439de2/David-Alaba,1042.0,1189.0,15258.0,5475.0,16.0,68.0,9.0,4.0
https://fbref.com/en/players/054849d2/Iago,449.0,725.0,8133.0,4177.0,10.0,33.0,17.0,7.0
https://fbref.com/en/players/056269d7/Oscar-Mingueza,721.0,908.0,12216.0,4925.0,11.0,70.0,13.0,4.0
https://fbref.com/en/players/0562b7f1/Odsonne-Edouard,295.0,412.0,3307.0,535.0,17.0,9.0,9.0,0.0
https://fbref.com/en/players/056d2d95/Christopher-Trimmel,649.0,1040.0,11591.0,5038.0,35.0,53.0,26.0,18.0
https://fbref.com/en/players/0588a092/Frank-Tsadjout,184.0,271.0,2340.0,400.0,10.0,14.0,5.0,0.0
https://fbref.com/en/players/05ba9d7c/Tanguy-Coulibaly,98.0,141.0,1412.0,420.0,6.0,8.0,4.0,1.0
https://fbref.com/en/players/05d548d8/Mats-Hummels,1468.0,1677.0,31464.0,10587.0,12.0,100.0,10.0,3.0
https://fbref.com/en/players/05e19d6a/Franck-Kessie,391.0,457.0,5955.0,1170.0,8.0,23.0,6.0,1.0
https://fbref.com/en/players/05e2d5ea/Delano-Burgzorg,40.0,55.0,473.0,76.0,1.0,1.0,2.0,0.0
https://fbref.com/en/players/05e8ca6d/Cameron-Archer,8.0,12.0,108.0,44.0,0.0,2.0,0.0,0.0
https://fbref.com/en/players/05f99a4a/Jonathan-Burkardt,71.0,109.0,1119.0,317.0,7.0,3.0,9.0,2.0
https://fbref.com/en/players/060606ec/Marco-DAlessandro,79.0,115.0,1182.0,302.0,3.0,4.0,0.0,0.0
https://fbref.com/en/players/061266cd/Darlin-Yongwa,264.0,331.0,3562.0,1191.0,9.0,11.0,16.0,3.0
https://fbref.com/en/players/061e8e23/Maximilian-Philipp,136.0,180.0,1922.0,350.0,5.0,6.0,2.0,0.0
https://fbref.com/en/players/0630eb63/Nemanja-Radonjic,298.0,473.0,4373.0,1199.0,18.0,20.0,19.0,8.0
https://fbref.com/en/players/065dc209/Terem-Moffi,340.0,440.0,4540.0,907.0,36.0,21.0,12.0,1.0
https://fbref.com/en/players/068f4dec/Benat-Turrientes,40.0,47.0,707.0,113.0,2.0,3.0,0.0,0.0
https://fbref.com/en/players/06b08c45/Jacopo-Fazzini,257.0,326.0,3410.0,878.0,9.0,16.0,4.0,1.0
https://fbref.com/en/players/06c48679/Jonathan-Gradit,1875.0,2093.0,34040.0,12990.0,13.0,221.0,17.0,5.0
https://fbref.com/en/players/06df8256/Benoit-Badiashile,1172.0,1328.0,22357.0,8574.0,4.0,93.0,8.0,0.0
https://fbref.com/en/players/06efa9dc/Sergio-Akieme,821.0,1061.0,13314.0,5012.0,21.0,43.0,22.0,17.0
https://fbref.com/en/players/070a3904/Sergi-Darder,1181.0,1628.0,22446.0,8537.0,73.0,158.0,52.0,16.0
https://fbref.com/en/players/0728bebe/Gaetano-Castrovilli,188.0,241.0,2876.0,559.0,8.0,10.0,4.0,1.0
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,1172.0,1373.0,23290.0,8365.0,7.0,55.0,3.0,1.0
https://fbref.com/en/players/07802f7f/Danny-Ings,206.0,310.0,2482.0,591.0,15.0,18.0,6.0,0.0
https://fbref.com/en/players/07ace8c3/Rhys-Healey,8.0,15.0,64.0,7.0,2.0,0.0,0.0,0.0
https://fbref.com/en/players/07c7eb0c/Anthony-Losilla,650.0,962.0,10825.0,3793.0,14.0,62.0,8.0,2.0
https://fbref.com/en/players/07d3bfec/Tom-Bischof,84.0,121.0,1266.0,420.0,5.0,9.0,4.0,1.0
https://fbref.com/en/players/07f8bcc8/Assan-Ceesay,226.0,394.0,2930.0,366.0,8.0,13.0,5.0,1.0
https://fbref.com/en/players/0810b6df/Patrick-Pentz,141.0,211.0,3725.0,2480.0,0.0,3.0,0.0,0.0
https://fbref.com/en/players/08511d65/Sergio-Ramos,2394.0,2535.0,46077.0,15119.0,4.0,215.0,6.0,2.0
https://fbref.com/en/players/08593525/Diadie-Samassekou,17.0,20.0,252.0,66.0,0.0,2.0,0.0,0.0
https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,808.0,1173.0,21748.0,14971.0,1.0,22.0,3.0,0.0
https://fbref.com/en/players/088ca1bd/Jonathan-Schmid,23.0,28.0,365.0,121.0,1.0,1.0,2.0,2.0
https://fbref.com/en/players/089667a5/Lewis-OBrien,166.0,214.0,2785.0,650.0,4.0,19.0,3.0,0.0
https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti,324.0,496.0,3971.0,594.0,17.0,15.0,14.0,2.0
https://fbref.com/en/players/08eb3b58/Matias-Vina,162.0,215.0,2495.0,938.0,3.0,13.0,4.0,0.0
https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,811.0,935.0,16498.0,10725.0,0.0,2.0,0.0,0.0
https://fbref.com/en/players/091c86e2/Felix-Nmecha,534.0,706.0,9025.0,2662.0,20.0,70.0,11.0,1.0
https://fbref.com/en/players/09538fdb/Kevin-Lasagna,157.0,258.0,2338.0,547.0,17.0,9.0,9.0,0.0
https://fbref.com/en/players/0959c2a2/Federico-Valverde,1427.0,1641.0,21092.0,4276.0,43.0,118.0,45.0,6.0
https://fbref.com/en/players/095e4199/Arber-Zeneli,302.0,430.0,4497.0,1514.0,22.0,24.0,19.0,1.0
https://fbref.com/en/players/0967845b/Fabiano-Parisi,1263.0,1646.0,20129.0,9462.0,21.0,99.0,35.0,11.0
https://fbref.com/en/players/09899de8/Simone-Romagnoli,61.0,74.0,1136.0,497.0,0.0,1.0,0.0,0.0
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,879.0,1207.0,16249.0,7774.0,17.0,89.0,13.0,9.0
https://fbref.com/en/players/0a084b35/Josip-Juranovic,318.0,492.0,5817.0,2450.0,22.0,22.0,11.0,9.0
