URL,SCA_SCA,GCA_GCA
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,20.0,1.0
https://fbref.com/en/players/07802f7f/Danny-Ings,28.0,4.0
https://fbref.com/en/players/07ace8c3/Rhys-Healey,2.0,0.0
https://fbref.com/en/players/07c7eb0c/Anthony-Losilla,41.0,6.0
https://fbref.com/en/players/07d3bfec/Tom-Bischof,7.0,0.0
https://fbref.com/en/players/07f8bcc8/Assan-Ceesay,37.0,6.0
https://fbref.com/en/players/0810b6df/Patrick-Pentz,2.0,0.0
https://fbref.com/en/players/08511d65/Sergio-Ramos,21.0,1.0
https://fbref.com/en/players/08593525/Diadie-Samassekou,0.0,0.0
https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,7.0,2.0
https://fbref.com/en/players/088ca1bd/Jonathan-Schmid,2.0,0.0
https://fbref.com/en/players/089667a5/Lewis-OBrien,21.0,0.0
https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti,53.0,3.0
https://fbref.com/en/players/08eb3b58/Matias-Vina,12.0,3.0
https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,1.0,0.0
https://fbref.com/en/players/091c86e2/Felix-Nmecha,50.0,7.0
https://fbref.com/en/players/09538fdb/Kevin-Lasagna,39.0,3.0
https://fbref.com/en/players/0959c2a2/Federico-Valverde,81.0,14.0
https://fbref.com/en/players/095e4199/Arber-Zeneli,47.0,7.0
https://fbref.com/en/players/0967845b/Fabiano-Parisi,62.0,8.0
https://fbref.com/en/players/09899de8/Simone-Romagnoli,0.0,0.0
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,44.0,3.0
https://fbref.com/en/players/0a084b35/Josip-Juranovic,30.0,3.0
https://fbref.com/en/players/0a0cc13c/Sergio-Leon,26.0,3.0
https://fbref.com/en/players/0a16eb36/Jordi-Osei-Tutu,16.0,1.0
https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,3.0,1.0
https://fbref.com/en/players/0a3d6d2b/Chris-Richards,2.0,0.0
https://fbref.com/en/players/0a3f6cde/Christopher-Antwi-Adjei,79.0,12.0
https://fbref.com/en/players/0a447501/Antonio-Sanabria,50.0,5.0
https://fbref.com/en/players/0a483542/Giorgos-Kyriakopoulos,46.0,6.0
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,19.0,0.0
https://fbref.com/en/players/0a69de7b/Kike-Salas,1.0,1.0
https://fbref.com/en/players/0a6cb1b1/Harry-Souttar,8.0,2.0
https://fbref.com/en/players/0a89e877/Benjamin-Henrichs,55.0,5.0
https://fbref.com/en/players/0ab1f153/Juan-Cuadrado,78.0,6.0
https://fbref.com/en/players/0abc51f2/Jorge-Cuenca,5.0,0.0
https://fbref.com/en/players/0acda699/Francesco-Bardi,0.0,0.0
https://fbref.com/en/players/0ae4e09a/Roger-Marti,25.0,1.0
https://fbref.com/en/players/0af4dcf0/Cedric-Bakambu,2.0,1.0
https://fbref.com/en/players/0b2c8585/Raul-Guti,16.0,2.0
https://fbref.com/en/players/0b2c9aec/Mitchell-van-Bergen,34.0,3.0
https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu,25.0,3.0
https://fbref.com/en/players/0b45a8d7/Semir-Telalovic,0.0,0.0
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,35.0,6.0
https://fbref.com/en/players/0b4f388a/Breel-Embolo,63.0,10.0
https://fbref.com/en/players/0b5a292a/Mario-Rui,87.0,13.0
https://fbref.com/en/players/0ba976e4/Ansu-Fati,50.0,7.0
https://fbref.com/en/players/0bc4e720/Manu-Vallejo,10.0,4.0
https://fbref.com/en/players/0bdda685/Dexter-Lembikisa,1.0,0.0
https://fbref.com/en/players/0bdeb013/Cameron-Peupion,0.0,0.0
https://fbref.com/en/players/0be276c6/Norbert-Gyomber,11.0,3.0
https://fbref.com/en/players/0be95d34/Romain-Del-Castillo,68.0,13.0
https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,58.0,3.0
https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,85.0,9.0
https://fbref.com/en/players/0c7a48f8/Piero-Hincapie,21.0,3.0
https://fbref.com/en/players/0c88efca/Eniss-Shabani,0.0,0.0
https://fbref.com/en/players/0cadc46d/Vedat-Muriqi,48.0,5.0
https://fbref.com/en/players/0cbc8baa/Jean-Kevin-Duverne,48.0,4.0
https://fbref.com/en/players/0cc5f4a5/Lukas-Nmecha,27.0,2.0
https://fbref.com/en/players/0cd31129/Brennan-Johnson,55.0,11.0
https://fbref.com/en/players/0cf778df/Chris-Fuhrich,79.0,9.0
https://fbref.com/en/players/0d077b88/Mehdi-Bourabia,80.0,7.0
https://fbref.com/en/players/0d422df7/Marco-Silvestri,8.0,0.0
https://fbref.com/en/players/0d55d942/Alexander-Schwolow,10.0,0.0
https://fbref.com/en/players/0d7b6576/Elye-Wahi,51.0,12.0
https://fbref.com/en/players/0d82903c/Alex-Sandro,36.0,3.0
https://fbref.com/en/players/0d8a37c2/Tobias-Sippel,0.0,0.0
https://fbref.com/en/players/0d9b2d31/Pedri,87.0,11.0
https://fbref.com/en/players/0da6a13e/Theo-Bongonda,45.0,5.0
https://fbref.com/en/players/0db169ae/Sandro-Tonali,101.0,13.0
https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,9.0,1.0
https://fbref.com/en/players/0def2376/Warren-Bondo,3.0,0.0
https://fbref.com/en/players/0e0102eb/Omar-Marmoush,43.0,5.0
https://fbref.com/en/players/0e0d6c53/Duccio-DeglInnocenti,0.0,0.0
https://fbref.com/en/players/0e12089d/Maxime-Dupe,2.0,0.0
https://fbref.com/en/players/0e46fa2f/Matthis-Abline,22.0,5.0
https://fbref.com/en/players/0e4fef6e/Lucas-Torro,24.0,1.0
https://fbref.com/en/players/0e5ddc7c/Dani-Gomez,0.0,0.0
https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,42.0,5.0
https://fbref.com/en/players/0e7ccfc4/Sebastien-Corchia,15.0,4.0
https://fbref.com/en/players/0e8d7b6c/Ayman-Kari,7.0,1.0
https://fbref.com/en/players/0ed063d6/Yasser-Larouci,35.0,1.0
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,24.0,0.0
https://fbref.com/en/players/0f134faf/Mathias-Jensen,103.0,13.0
https://fbref.com/en/players/0f26ffd7/Copete,16.0,0.0
https://fbref.com/en/players/0f59a7bf/Anton-Stach,59.0,6.0
