URL,MP_PLAYING,STARTS_PLAYING,MIN_PLAYING,GLS,AST,G+A,G_MINUS_PK,PK,PKATT,CRDY,CRDR,PRGC_PROGRESSION,PRGP_PROGRESSION,PRGR_PROGRESSION
https://fbref.com/en/players/03f946ed/Andrea-Petagna,31,19,1663,4,5,9,3,1,1,2,0,23.0,34.0,132.0
https://fbref.com/en/players/0400dd2f/Badredine-Bouanani,19,9,863,0,4,4,0,0,0,0,0,47.0,31.0,98.0
https://fbref.com/en/players/0420d84f/Seamus-Coleman,23,20,1656,1,0,1,1,0,0,1,0,13.0,61.0,37.0
https://fbref.com/en/players/042e8a49/Kingsley-Coman,24,16,1409,8,5,13,8,0,0,2,1,98.0,70.0,296.0
https://fbref.com/en/players/0442183b/Nathaniel-Clyne,22,19,1640,0,0,0,0,0,0,3,0,14.0,52.0,29.0
https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro,27,26,2290,4,12,16,4,0,0,4,0,85.0,191.0,163.0
https://fbref.com/en/players/04965583/Aleix-Vidal,25,10,1025,0,3,3,0,0,0,10,1,16.0,23.0,53.0
https://fbref.com/en/players/049751d7/Andras-Schafer,16,10,860,0,0,0,0,0,0,0,0,15.0,26.0,18.0
https://fbref.com/en/players/049a888d/Mykhailo-Mudryk,15,7,657,0,2,2,0,0,0,1,0,25.0,20.0,43.0
https://fbref.com/en/players/04ac78d2/Bamo-Meite,17,16,1503,1,0,1,1,0,0,5,0,10.0,32.0,1.0
https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,37,15,1577,7,1,8,5,2,3,3,0,15.0,27.0,109.0
https://fbref.com/en/players/04df29a5/Lorenzo-Colombo,33,18,1515,5,2,7,4,1,2,4,0,14.0,21.0,119.0
https://fbref.com/en/players/04e17fd5/Youssef-En-Nesyri,31,17,1661,8,1,9,8,0,0,4,0,16.0,12.0,71.0
https://fbref.com/en/players/04e531b6/Pablo-Torre,8,1,144,0,0,0,0,0,0,0,0,4.0,11.0,16.0
https://fbref.com/en/players/0512a60a/Ismael-Doukoure,28,25,2297,1,1,2,1,0,0,5,0,27.0,99.0,20.0
https://fbref.com/en/players/05439de2/David-Alaba,23,21,1838,1,3,4,1,0,0,3,0,16.0,67.0,60.0
https://fbref.com/en/players/054849d2/Iago,22,19,1600,0,2,2,0,0,0,6,1,27.0,53.0,49.0
https://fbref.com/en/players/056269d7/Oscar-Mingueza,21,13,1284,0,0,0,0,0,0,2,0,24.0,69.0,40.0
https://fbref.com/en/players/0562b7f1/Odsonne-Edouard,35,20,1803,5,2,7,5,0,0,3,0,29.0,32.0,100.0
https://fbref.com/en/players/056d2d95/Christopher-Trimmel,25,20,1811,0,6,6,0,0,0,1,0,34.0,65.0,80.0
https://fbref.com/en/players/0588a092/Frank-Tsadjout,20,14,1051,3,1,4,3,0,0,1,0,15.0,18.0,63.0
https://fbref.com/en/players/05ba9d7c/Tanguy-Coulibaly,14,0,326,4,0,4,3,1,1,3,0,14.0,12.0,38.0
https://fbref.com/en/players/05d548d8/Mats-Hummels,30,24,2018,1,0,1,1,0,0,4,0,21.0,114.0,6.0
https://fbref.com/en/players/05e19d6a/Franck-Kessie,28,7,990,1,1,2,1,0,0,4,0,14.0,39.0,43.0
https://fbref.com/en/players/05e2d5ea/Delano-Burgzorg,13,0,244,0,1,1,0,0,0,2,0,4.0,4.0,24.0
https://fbref.com/en/players/05e8ca6d/Cameron-Archer,6,0,49,0,0,0,0,0,0,0,0,3.0,0.0,3.0
https://fbref.com/en/players/05f99a4a/Jonathan-Burkardt,11,7,533,1,2,3,1,0,1,2,0,9.0,14.0,46.0
https://fbref.com/en/players/060606ec/Marco-DAlessandro,8,3,290,0,0,0,0,0,0,2,0,14.0,3.0,19.0
https://fbref.com/en/players/061266cd/Darlin-Yongwa,14,8,781,1,1,2,1,0,0,2,0,29.0,24.0,70.0
https://fbref.com/en/players/061e8e23/Maximilian-Philipp,18,4,558,1,0,1,1,0,0,1,0,6.0,7.0,30.0
https://fbref.com/en/players/0630eb63/Nemanja-Radonjic,28,16,1461,2,2,4,2,0,0,1,0,86.0,42.0,163.0
https://fbref.com/en/players/065dc209/Terem-Moffi,34,32,2714,18,3,21,17,1,2,3,0,54.0,40.0,138.0
