URL,COMPL_STARTS,SUBS_SUBS,UNSUB_SUBS,PPM_TEAM.SUCCESS,ONG_TEAM.SUCCESS,ONGA_TEAM.SUCCESS,PLUS_PER__MINUS__TEAM.SUCCESS
https://fbref.com/en/players/039a4fb6/Tio-Cipot,0,8,12,0.22,0.0,3.0,-3.0
https://fbref.com/en/players/03e91055/Jason-Berthomier,0,2,2,3.0,0.0,0.0,0.0
https://fbref.com/en/players/03f946ed/Andrea-Petagna,2,12,2,1.23,23.0,32.0,-9.0
https://fbref.com/en/players/0400dd2f/Badredine-Bouanani,1,10,3,1.63,12.0,7.0,5.0
https://fbref.com/en/players/0420d84f/Seamus-Coleman,9,3,7,0.91,15.0,25.0,-10.0
https://fbref.com/en/players/042e8a49/Kingsley-Coman,2,8,3,2.17,43.0,11.0,32.0
https://fbref.com/en/players/0442183b/Nathaniel-Clyne,14,3,8,0.77,13.0,23.0,-10.0
https://fbref.com/en/players/0472ad0a/Gabriele-Indragoli,0,0,2,,0.0,0.0,0.0
https://fbref.com/en/players/0489bb30/Eddie-Salcedo,0,0,1,,0.0,0.0,0.0
https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro,19,1,4,1.85,58.0,41.0,17.0
https://fbref.com/en/players/04965583/Aleix-Vidal,1,15,6,1.16,18.0,19.0,-1.0
https://fbref.com/en/players/049751d7/Andras-Schafer,1,6,1,2.06,12.0,6.0,6.0
https://fbref.com/en/players/049a888d/Mykhailo-Mudryk,1,8,4,0.67,6.0,10.0,-4.0
https://fbref.com/en/players/04ac78d2/Bamo-Meite,15,1,9,1.17,20.0,23.0,-3.0
https://fbref.com/en/players/04b40c58/Nicolo-Bertola,0,0,2,,0.0,0.0,0.0
https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,5,22,1,1.46,24.0,23.0,1.0
https://fbref.com/en/players/04df29a5/Lorenzo-Colombo,0,15,4,0.97,20.0,18.0,2.0
https://fbref.com/en/players/04e17fd5/Youssef-En-Nesyri,6,14,6,1.42,26.0,22.0,4.0
https://fbref.com/en/players/04e531b6/Pablo-Torre,0,7,23,0.88,3.0,2.0,1.0
https://fbref.com/en/players/04eb7d82/Amario-Duberry,0,0,5,,0.0,0.0,0.0
https://fbref.com/en/players/0512a60a/Ismael-Doukoure,20,3,9,1.11,33.0,34.0,-1.0
https://fbref.com/en/players/05439de2/David-Alaba,16,2,3,2.3,49.0,18.0,31.0
https://fbref.com/en/players/054849d2/Iago,11,3,0,1.09,26.0,30.0,-4.0
https://fbref.com/en/players/056269d7/Oscar-Mingueza,8,8,6,1.14,15.0,20.0,-5.0
https://fbref.com/en/players/0562b7f1/Odsonne-Edouard,2,15,2,1.2,23.0,25.0,-2.0
https://fbref.com/en/players/056d2d95/Christopher-Trimmel,17,5,8,1.76,29.0,24.0,5.0
https://fbref.com/en/players/0588a092/Frank-Tsadjout,2,6,13,0.85,10.0,27.0,-17.0
https://fbref.com/en/players/059a83b8/Therence-Koudou,0,0,2,,0.0,0.0,0.0
https://fbref.com/en/players/05ba9d7c/Tanguy-Coulibaly,0,14,8,1.0,11.0,6.0,5.0
https://fbref.com/en/players/05d548d8/Mats-Hummels,16,6,3,2.17,53.0,22.0,31.0
https://fbref.com/en/players/05e19d6a/Franck-Kessie,1,21,7,2.14,16.0,7.0,9.0
https://fbref.com/en/players/05e2d5ea/Delano-Burgzorg,0,13,11,1.08,3.0,5.0,-2.0
https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,6,8,1.17,0.0,1.0,-1.0
https://fbref.com/en/players/05f2f323/Maissa-Ndiaye,0,0,5,,0.0,0.0,0.0
https://fbref.com/en/players/05f99a4a/Jonathan-Burkardt,0,4,0,1.18,7.0,12.0,-5.0
https://fbref.com/en/players/060606ec/Marco-DAlessandro,1,5,24,1.5,3.0,7.0,-4.0
https://fbref.com/en/players/061266cd/Darlin-Yongwa,5,6,23,1.0,8.0,13.0,-5.0
https://fbref.com/en/players/061e8e23/Maximilian-Philipp,0,14,4,0.9650000000000001,12.0,10.0,2.0
https://fbref.com/en/players/0630eb63/Nemanja-Radonjic,4,12,2,1.18,18.0,18.0,0.0
https://fbref.com/en/players/065dc209/Terem-Moffi,15,2,0,1.6749999999999998,47.0,40.0,7.0
https://fbref.com/en/players/0674ebf1/Maurice-Malone,0,0,3,,0.0,0.0,0.0
https://fbref.com/en/players/068f4dec/Benat-Turrientes,0,5,26,1.5,1.0,2.0,-1.0
https://fbref.com/en/players/06b08c45/Jacopo-Fazzini,1,13,16,1.38,6.0,9.0,-3.0
https://fbref.com/en/players/06c48679/Jonathan-Gradit,26,0,0,2.24,61.0,27.0,34.0
https://fbref.com/en/players/06df8256/Benoit-Badiashile,18,3,9,1.55,31.0,24.0,7.0
https://fbref.com/en/players/06efa9dc/Sergio-Akieme,23,2,4,0.93,31.0,45.0,-14.0
https://fbref.com/en/players/070a3904/Sergi-Darder,31,0,0,0.97,51.0,64.0,-13.0
https://fbref.com/en/players/0728bebe/Gaetano-Castrovilli,2,8,5,1.67,17.0,8.0,9.0
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,32,1,3,1.15,42.0,56.0,-14.0
https://fbref.com/en/players/07802f7f/Danny-Ings,4,20,3,1.2850000000000001,20.0,26.0,-6.0
https://fbref.com/en/players/07ace8c3/Rhys-Healey,0,4,0,2.0,2.0,1.0,1.0
https://fbref.com/en/players/07c7eb0c/Anthony-Losilla,26,0,0,1.1,39.0,64.0,-25.0
https://fbref.com/en/players/07d3bfec/Tom-Bischof,0,8,10,0.45,6.0,7.0,-1.0
https://fbref.com/en/players/07ea0ef2/Leonardo-Capezzi,0,0,19,,0.0,0.0,0.0
https://fbref.com/en/players/07f8bcc8/Assan-Ceesay,4,14,3,0.91,13.0,27.0,-14.0
https://fbref.com/en/players/0810b6df/Patrick-Pentz,7,0,27,0.86,10.0,14.0,-4.0
https://fbref.com/en/players/08511d65/Sergio-Ramos,26,2,0,2.3,72.0,32.0,40.0
https://fbref.com/en/players/08593525/Diadie-Samassekou,0,1,4,1.5,0.0,0.0,0.0
https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,32,0,3,0.8,24.0,54.0,-30.0
https://fbref.com/en/players/088ca1bd/Jonathan-Schmid,0,3,9,1.33,0.0,1.0,-1.0
https://fbref.com/en/players/089667a5/Lewis-OBrien,3,7,2,0.92,5.0,14.0,-9.0
https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti,8,7,0,1.16,29.0,32.0,-3.0
https://fbref.com/en/players/08eb3b58/Matias-Vina,2,9,21,1.625,6.0,11.0,-5.0
https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,37,0,0,2.24,89.0,40.0,49.0
https://fbref.com/en/players/091c86e2/Felix-Nmecha,11,11,1,1.47,34.0,25.0,9.0
https://fbref.com/en/players/09538fdb/Kevin-Lasagna,7,9,0,0.81,13.0,26.0,-13.0
https://fbref.com/en/players/0959c2a2/Federico-Valverde,17,5,4,2.09,51.0,25.0,26.0
https://fbref.com/en/players/095e4199/Arber-Zeneli,0,11,14,1.48,12.0,7.0,5.0
https://fbref.com/en/players/0967845b/Fabiano-Parisi,28,0,2,1.21,31.0,37.0,-6.0
https://fbref.com/en/players/09899de8/Simone-Romagnoli,1,6,11,0.71,1.0,4.0,-3.0
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,22,4,4,0.9,29.0,44.0,-15.0
https://fbref.com/en/players/0a084b35/Josip-Juranovic,10,2,6,1.58,12.0,9.0,3.0
https://fbref.com/en/players/0a0cc13c/Sergio-Leon,3,15,7,1.07,14.0,28.0,-14.0
https://fbref.com/en/players/0a16eb36/Jordi-Osei-Tutu,1,12,7,0.7,6.0,20.0,-14.0
https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,32,0,0,1.06,49.0,61.0,-12.0
https://fbref.com/en/players/0a3c1b17/Julius-Schell,0,0,1,,0.0,0.0,0.0
https://fbref.com/en/players/0a3d6d2b/Chris-Richards,4,5,18,0.78,2.0,11.0,-9.0
https://fbref.com/en/players/0a3f6cde/Christopher-Antwi-Adjei,10,7,2,1.21,32.0,40.0,-8.0
https://fbref.com/en/players/0a447501/Antonio-Sanabria,12,5,2,1.33,29.0,31.0,-2.0
https://fbref.com/en/players/0a483542/Giorgos-Kyriakopoulos,5,7,8,1.33,21.0,20.0,1.0
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,9,12,6,0.73,7.0,30.0,-23.0
https://fbref.com/en/players/0a69de7b/Kike-Salas,2,2,10,1.0,6.0,5.0,1.0
https://fbref.com/en/players/0a6cb1b1/Harry-Souttar,11,1,6,0.67,13.0,19.0,-6.0
https://fbref.com/en/players/0a89e877/Benjamin-Henrichs,17,7,3,1.87,39.0,35.0,4.0
https://fbref.com/en/players/0ab1f153/Juan-Cuadrado,10,7,0,2.03,35.0,15.0,20.0
https://fbref.com/en/players/0abc51f2/Jorge-Cuenca,4,5,28,1.4,5.0,7.0,-2.0
https://fbref.com/en/players/0acda699/Francesco-Bardi,1,0,36,3.0,3.0,0.0,3.0
https://fbref.com/en/players/0ae4e09a/Roger-Marti,1,10,7,0.9249999999999999,8.0,21.0,-13.0
https://fbref.com/en/players/0af4dcf0/Cedric-Bakambu,0,3,2,2.33,1.0,1.0,0.0
https://fbref.com/en/players/0b2c8585/Raul-Guti,3,16,9,0.68,11.0,25.0,-14.0
https://fbref.com/en/players/0b2c9aec/Mitchell-van-Bergen,2,22,2,1.39,13.0,15.0,-2.0
https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu,20,1,4,0.73,20.0,41.0,-21.0
https://fbref.com/en/players/0b45a8d7/Semir-Telalovic,0,3,2,0.0,0.0,0.0,0.0
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,1,5,1,0.63,12.0,25.0,-13.0
https://fbref.com/en/players/0b4f388a/Breel-Embolo,11,13,0,1.72,39.0,32.0,7.0
https://fbref.com/en/players/0b5a292a/Mario-Rui,7,1,8,2.77,47.0,16.0,31.0
https://fbref.com/en/players/0b6dcd11/Ruly,0,0,2,,0.0,0.0,0.0
https://fbref.com/en/players/0ba16279/Caumenan-NGuessan,0,0,9,,0.0,0.0,0.0
https://fbref.com/en/players/0ba976e4/Ansu-Fati,1,24,1,2.36,36.0,5.0,31.0
https://fbref.com/en/players/0bc4e720/Manu-Vallejo,0,5,11,0.86,8.0,5.0,3.0
https://fbref.com/en/players/0bdda685/Dexter-Lembikisa,0,1,1,0.0,0.0,1.0,-1.0
https://fbref.com/en/players/0bdeb013/Cameron-Peupion,0,1,4,0.0,0.0,2.0,-2.0
https://fbref.com/en/players/0be276c6/Norbert-Gyomber,9,4,3,1.19,25.0,19.0,6.0
https://fbref.com/en/players/0be95d34/Romain-Del-Castillo,0,11,0,1.22,24.0,23.0,1.0
