URL,TOUCHES_TOUCHES,DEF PEN_TOUCHES,DEF 3RD_TOUCHES,MID 3RD_TOUCHES,ATT 3RD_TOUCHES,ATT PEN_TOUCHES,LIVE_TOUCHES,ATT_TAKE,SUCC_TAKE,TKLD_TAKE,CARRIES_CARRIES,TOTDIST_CARRIES,PRGDIST_CARRIES,PRGC_CARRIES,FINAL_THIRD_CARRIES,CPA_CARRIES,MIS_CARRIES,DIS_CARRIES,REC_RECEIVING,PRGR_RECEIVING
https://fbref.com/en/players/01c3aff5/Weston-McKennie,1333.0,66.0,303.0,650.0,392.0,39.0,1333.0,25.0,18.0,6.0,631.0,2909.0,1469.0,33.0,27.0,2.0,48.0,37.0,794.0,87.0
https://fbref.com/en/players/01ce9e70/Kieffer-Moore,522.0,36.0,59.0,286.0,178.0,49.0,522.0,13.0,2.0,7.0,252.0,940.0,302.0,10.0,8.0,2.0,42.0,31.0,396.0,56.0
https://fbref.com/en/players/01e5f06e/Sergio-Gomez,358.0,16.0,75.0,198.0,87.0,10.0,358.0,3.0,0.0,3.0,203.0,1018.0,520.0,10.0,10.0,1.0,7.0,3.0,274.0,20.0
https://fbref.com/en/players/01eb744d/Angel-Correa,738.0,11.0,84.0,283.0,379.0,119.0,738.0,59.0,23.0,33.0,472.0,2244.0,971.0,44.0,20.0,24.0,58.0,31.0,568.0,142.0
https://fbref.com/en/players/01efac19/Antonin-Barak,920.0,19.0,84.0,480.0,368.0,67.0,920.0,41.0,20.0,18.0,568.0,3432.0,1460.0,45.0,31.0,8.0,35.0,29.0,660.0,94.0
https://fbref.com/en/players/01fd01e8/Souleymane-Toure,1012.0,143.0,511.0,462.0,52.0,17.0,1012.0,19.0,8.0,8.0,711.0,4004.0,1967.0,12.0,7.0,0.0,8.0,2.0,644.0,7.0
https://fbref.com/en/players/02319ad7/Jaime-Mata,190.0,8.0,29.0,73.0,90.0,20.0,190.0,5.0,2.0,3.0,102.0,369.0,104.0,2.0,6.0,0.0,16.0,7.0,131.0,33.0
https://fbref.com/en/players/023937a9/Ivan-Radovanovic,323.0,30.0,130.0,182.0,14.0,2.0,323.0,1.0,0.0,1.0,175.0,815.0,439.0,2.0,1.0,0.0,6.0,0.0,203.0,2.0
https://fbref.com/en/players/028e70b9/Joshua-Zirkzee,379.0,8.0,21.0,177.0,185.0,33.0,379.0,37.0,16.0,19.0,236.0,1178.0,407.0,10.0,16.0,5.0,36.0,25.0,309.0,74.0
https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure,713.0,18.0,156.0,327.0,242.0,45.0,713.0,33.0,20.0,11.0,371.0,1689.0,896.0,23.0,16.0,7.0,27.0,13.0,440.0,66.0
https://fbref.com/en/players/02bcaf8e/Bilal-Brahimi,487.0,1.0,45.0,198.0,250.0,27.0,487.0,34.0,18.0,13.0,385.0,2906.0,1354.0,41.0,23.0,9.0,27.0,12.0,383.0,100.0
https://fbref.com/en/players/02c15616/Marcos-Llorente,997.0,35.0,216.0,378.0,415.0,64.0,997.0,27.0,12.0,13.0,558.0,3321.0,1942.0,64.0,45.0,15.0,23.0,11.0,661.0,139.0
https://fbref.com/en/players/02caf6e0/Manuel-Lazzari,1380.0,52.0,433.0,657.0,310.0,27.0,1380.0,41.0,18.0,18.0,789.0,5925.0,3933.0,98.0,62.0,15.0,25.0,3.0,921.0,74.0
https://fbref.com/en/players/02d2c436/Luis-Hernandez,1788.0,218.0,833.0,731.0,230.0,14.0,1788.0,4.0,3.0,0.0,783.0,3449.0,2033.0,10.0,5.0,0.0,5.0,2.0,894.0,8.0
https://fbref.com/en/players/02ef8778/Raul-de-Tomas,275.0,12.0,21.0,106.0,152.0,43.0,273.0,29.0,17.0,8.0,205.0,917.0,332.0,13.0,7.0,5.0,29.0,19.0,231.0,51.0
https://fbref.com/en/players/03049c8c/Keidi-Bare,336.0,15.0,67.0,207.0,62.0,5.0,336.0,6.0,2.0,3.0,181.0,1012.0,439.0,6.0,13.0,1.0,6.0,3.0,214.0,11.0
https://fbref.com/en/players/0313a347/Ezri-Konsa,2192.0,349.0,1280.0,850.0,70.0,22.0,2192.0,15.0,5.0,3.0,1375.0,6226.0,3596.0,7.0,9.0,0.0,15.0,5.0,1533.0,11.0
https://fbref.com/en/players/032f894e/Renato-Sanches,753.0,17.0,106.0,479.0,179.0,18.0,753.0,22.0,13.0,7.0,648.0,3751.0,2154.0,30.0,26.0,4.0,13.0,8.0,625.0,25.0
https://fbref.com/en/players/036bba5f/Ruben-Alcaraz,1286.0,64.0,309.0,768.0,224.0,22.0,1283.0,24.0,12.0,10.0,715.0,3713.0,1587.0,30.0,27.0,3.0,34.0,31.0,775.0,20.0
https://fbref.com/en/players/0375723e/Simone-Verdi,567.0,6.0,50.0,281.0,250.0,25.0,566.0,63.0,35.0,19.0,327.0,2251.0,1029.0,34.0,23.0,3.0,35.0,32.0,357.0,57.0
https://fbref.com/en/players/039a4fb6/Tio-Cipot,83.0,2.0,16.0,32.0,42.0,5.0,83.0,7.0,3.0,4.0,47.0,311.0,157.0,5.0,4.0,1.0,5.0,6.0,54.0,17.0
https://fbref.com/en/players/03e91055/Jason-Berthomier,20.0,0.0,1.0,13.0,6.0,0.0,20.0,0.0,0.0,0.0,16.0,69.0,20.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0
https://fbref.com/en/players/03f946ed/Andrea-Petagna,641.0,21.0,47.0,343.0,256.0,88.0,640.0,37.0,20.0,11.0,373.0,2180.0,657.0,23.0,13.0,11.0,64.0,43.0,497.0,132.0
https://fbref.com/en/players/0400dd2f/Badredine-Bouanani,498.0,1.0,61.0,203.0,243.0,35.0,498.0,51.0,27.0,20.0,406.0,3033.0,1541.0,47.0,25.0,16.0,23.0,13.0,389.0,98.0
https://fbref.com/en/players/0420d84f/Seamus-Coleman,990.0,81.0,334.0,416.0,246.0,21.0,990.0,36.0,16.0,15.0,457.0,2049.0,925.0,13.0,10.0,3.0,30.0,6.0,481.0,37.0
https://fbref.com/en/players/042e8a49/Kingsley-Coman,1006.0,9.0,75.0,334.0,615.0,94.0,1006.0,92.0,47.0,33.0,723.0,4737.0,2554.0,98.0,49.0,44.0,48.0,20.0,808.0,296.0
https://fbref.com/en/players/0442183b/Nathaniel-Clyne,971.0,44.0,313.0,475.0,186.0,3.0,971.0,12.0,5.0,5.0,423.0,1778.0,896.0,14.0,10.0,1.0,12.0,3.0,531.0,29.0
https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro,2028.0,54.0,433.0,951.0,666.0,68.0,2028.0,47.0,27.0,19.0,1175.0,6066.0,3439.0,85.0,59.0,18.0,28.0,18.0,1340.0,163.0
https://fbref.com/en/players/04965583/Aleix-Vidal,489.0,19.0,99.0,205.0,188.0,15.0,489.0,19.0,7.0,11.0,238.0,1219.0,457.0,16.0,5.0,3.0,15.0,7.0,250.0,53.0
https://fbref.com/en/players/049751d7/Andras-Schafer,391.0,15.0,90.0,189.0,125.0,14.0,391.0,32.0,9.0,14.0,203.0,1157.0,523.0,15.0,12.0,4.0,21.0,13.0,212.0,18.0
https://fbref.com/en/players/049a888d/Mykhailo-Mudryk,323.0,7.0,40.0,112.0,175.0,28.0,323.0,39.0,13.0,20.0,194.0,1438.0,689.0,25.0,20.0,7.0,29.0,11.0,207.0,43.0
https://fbref.com/en/players/04ac78d2/Bamo-Meite,1107.0,184.0,614.0,472.0,22.0,9.0,1107.0,11.0,8.0,2.0,858.0,4901.0,2649.0,10.0,2.0,0.0,14.0,4.0,801.0,1.0
https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,565.0,17.0,59.0,262.0,247.0,68.0,562.0,22.0,14.0,6.0,380.0,1873.0,577.0,15.0,13.0,10.0,65.0,27.0,421.0,109.0
https://fbref.com/en/players/04df29a5/Lorenzo-Colombo,588.0,6.0,24.0,266.0,304.0,74.0,586.0,37.0,11.0,22.0,307.0,1330.0,408.0,14.0,12.0,6.0,79.0,38.0,418.0,119.0
https://fbref.com/en/players/04e17fd5/Youssef-En-Nesyri,439.0,19.0,44.0,186.0,211.0,103.0,439.0,23.0,4.0,16.0,190.0,927.0,369.0,16.0,5.0,14.0,46.0,9.0,286.0,71.0
https://fbref.com/en/players/04e531b6/Pablo-Torre,114.0,3.0,12.0,49.0,55.0,1.0,114.0,7.0,3.0,2.0,69.0,313.0,162.0,4.0,6.0,0.0,5.0,4.0,87.0,16.0
https://fbref.com/en/players/0512a60a/Ismael-Doukoure,1340.0,85.0,467.0,784.0,108.0,3.0,1340.0,45.0,29.0,12.0,953.0,5737.0,2683.0,27.0,25.0,2.0,21.0,20.0,830.0,20.0
