URL,2CRDY,FLS,FLD,OFF,CRS,TKLW,PKWON,PKCON,OG,RECOV,WON_AERIAL,LOST_AERIAL
https://fbref.com/en/players/0420d84f/Seamus-Coleman,0,10,21,2,22,26,0.0,0.0,0,100.0,18.0,16.0
https://fbref.com/en/players/042e8a49/Kingsley-Coman,1,9,21,5,74,8,1.0,0.0,0,71.0,11.0,10.0
https://fbref.com/en/players/0442183b/Nathaniel-Clyne,0,10,8,0,21,16,0.0,0.0,0,81.0,6.0,18.0
https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro,0,8,10,2,114,20,1.0,0.0,0,177.0,5.0,12.0
https://fbref.com/en/players/04965583/Aleix-Vidal,1,23,17,1,39,5,0.0,0.0,0,63.0,3.0,7.0
https://fbref.com/en/players/049751d7/Andras-Schafer,0,14,15,1,8,9,0.0,0.0,0,65.0,11.0,14.0
https://fbref.com/en/players/049a888d/Mykhailo-Mudryk,0,8,12,1,25,9,0.0,0.0,0,35.0,5.0,8.0
https://fbref.com/en/players/04ac78d2/Bamo-Meite,0,16,12,1,0,8,0.0,0.0,0,76.0,30.0,35.0
https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,0,29,24,14,1,13,0.0,0.0,0,44.0,55.0,60.0
https://fbref.com/en/players/04df29a5/Lorenzo-Colombo,0,36,16,8,10,9,0.0,0.0,0,52.0,41.0,118.0
https://fbref.com/en/players/04e17fd5/Youssef-En-Nesyri,0,10,11,21,4,8,0.0,0.0,0,28.0,60.0,90.0
https://fbref.com/en/players/04e531b6/Pablo-Torre,0,4,3,0,8,1,0.0,0.0,0,9.0,1.0,1.0
https://fbref.com/en/players/0512a60a/Ismael-Doukoure,0,30,27,0,11,24,0.0,0.0,0,148.0,29.0,37.0
https://fbref.com/en/players/05439de2/David-Alaba,0,9,3,0,26,11,0.0,1.0,0,94.0,11.0,8.0
https://fbref.com/en/players/054849d2/Iago,1,13,13,1,43,16,0.0,0.0,0,97.0,13.0,25.0
https://fbref.com/en/players/056269d7/Oscar-Mingueza,0,19,8,1,29,21,0.0,2.0,0,90.0,8.0,8.0
https://fbref.com/en/players/0562b7f1/Odsonne-Edouard,0,28,17,13,4,13,0.0,0.0,0,55.0,41.0,77.0
https://fbref.com/en/players/056d2d95/Christopher-Trimmel,0,17,7,1,180,16,0.0,1.0,0,107.0,23.0,19.0
https://fbref.com/en/players/0588a092/Frank-Tsadjout,0,22,18,4,4,8,0.0,0.0,0,39.0,59.0,60.0
https://fbref.com/en/players/05ba9d7c/Tanguy-Coulibaly,0,8,5,3,10,9,0.0,0.0,0,26.0,0.0,5.0
https://fbref.com/en/players/05d548d8/Mats-Hummels,0,18,19,2,6,34,0.0,0.0,0,137.0,71.0,40.0
https://fbref.com/en/players/05e19d6a/Franck-Kessie,0,17,16,3,5,9,0.0,0.0,0,61.0,7.0,8.0
https://fbref.com/en/players/05e2d5ea/Delano-Burgzorg,0,4,4,3,1,3,0.0,0.0,0,4.0,1.0,11.0
https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,2,1,1,1,0,0.0,0.0,0,2.0,0.0,0.0
https://fbref.com/en/players/05f99a4a/Jonathan-Burkardt,0,6,11,3,11,1,2.0,0.0,0,13.0,8.0,15.0
https://fbref.com/en/players/060606ec/Marco-DAlessandro,0,6,9,1,13,4,0.0,0.0,0,19.0,2.0,2.0
https://fbref.com/en/players/061266cd/Darlin-Yongwa,0,14,16,3,20,11,0.0,0.0,0,40.0,3.0,8.0
https://fbref.com/en/players/061e8e23/Maximilian-Philipp,0,7,19,4,7,6,0.0,0.0,0,19.0,8.0,25.0
https://fbref.com/en/players/0630eb63/Nemanja-Radonjic,0,17,17,12,76,1,0.0,0.0,0,63.0,7.0,14.0
https://fbref.com/en/players/065dc209/Terem-Moffi,0,30,27,9,4,11,0.0,0.0,0,63.0,32.0,74.0
https://fbref.com/en/players/068f4dec/Benat-Turrientes,0,2,1,0,4,3,0.0,0.0,0,7.0,0.0,2.0
https://fbref.com/en/players/06b08c45/Jacopo-Fazzini,0,20,13,0,11,17,0.0,0.0,0,55.0,14.0,30.0
https://fbref.com/en/players/06c48679/Jonathan-Gradit,0,31,39,0,15,40,0.0,0.0,0,140.0,47.0,45.0
https://fbref.com/en/players/06df8256/Benoit-Badiashile,0,19,10,0,2,16,0.0,0.0,0,143.0,56.0,21.0
https://fbref.com/en/players/06efa9dc/Sergio-Akieme,0,20,18,0,70,16,0.0,0.0,0,127.0,14.0,15.0
https://fbref.com/en/players/070a3904/Sergi-Darder,0,31,78,2,181,38,0.0,0.0,0,205.0,12.0,13.0
https://fbref.com/en/players/0728bebe/Gaetano-Castrovilli,0,12,12,1,12,8,0.0,0.0,0,36.0,4.0,11.0
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,0,24,9,2,2,18,0.0,0.0,0,136.0,71.0,46.0
https://fbref.com/en/players/07802f7f/Danny-Ings,0,16,14,14,4,13,0.0,0.0,0,46.0,25.0,37.0
https://fbref.com/en/players/07ace8c3/Rhys-Healey,0,0,0,0,0,0,0.0,0.0,0,3.0,2.0,0.0
https://fbref.com/en/players/07c7eb0c/Anthony-Losilla,0,47,17,3,10,49,0.0,1.0,0,203.0,92.0,76.0
https://fbref.com/en/players/07d3bfec/Tom-Bischof,0,9,5,0,7,10,0.0,0.0,0,16.0,2.0,5.0
https://fbref.com/en/players/07f8bcc8/Assan-Ceesay,0,36,27,22,15,18,0.0,0.0,0,51.0,63.0,80.0
https://fbref.com/en/players/0810b6df/Patrick-Pentz,0,0,2,0,0,0,0.0,0.0,0,8.0,0.0,0.0
https://fbref.com/en/players/08511d65/Sergio-Ramos,0,36,24,4,13,26,1.0,0.0,0,173.0,55.0,34.0
https://fbref.com/en/players/08593525/Diadie-Samassekou,0,3,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0
https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,0,0,6,0,0,0,0.0,0.0,0,38.0,8.0,1.0
https://fbref.com/en/players/088ca1bd/Jonathan-Schmid,0,1,0,0,4,1,0.0,0.0,0,4.0,0.0,0.0
https://fbref.com/en/players/089667a5/Lewis-OBrien,0,5,15,0,4,9,0.0,0.0,0,51.0,2.0,6.0
https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti,0,21,31,8,14,7,1.0,0.0,0,32.0,36.0,79.0
https://fbref.com/en/players/08eb3b58/Matias-Vina,0,11,12,0,6,12,0.0,0.0,0,33.0,5.0,7.0
https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,0,1,4,0,0,0,0.0,1.0,0,44.0,7.0,1.0
https://fbref.com/en/players/091c86e2/Felix-Nmecha,0,29,38,1,7,24,1.0,0.0,0,117.0,44.0,30.0
https://fbref.com/en/players/09538fdb/Kevin-Lasagna,0,25,22,15,13,6,0.0,0.0,0,64.0,20.0,68.0
https://fbref.com/en/players/0959c2a2/Federico-Valverde,0,11,15,5,27,20,0.0,0.0,0,132.0,31.0,11.0
https://fbref.com/en/players/095e4199/Arber-Zeneli,0,7,12,3,50,3,1.0,0.0,0,58.0,4.0,8.0
https://fbref.com/en/players/0967845b/Fabiano-Parisi,0,34,74,0,59,35,1.0,1.0,0,233.0,30.0,13.0
https://fbref.com/en/players/09899de8/Simone-Romagnoli,0,3,0,0,0,5,0.0,0.0,0,9.0,10.0,8.0
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,0,29,6,0,54,34,0.0,0.0,0,146.0,25.0,21.0
https://fbref.com/en/players/0a084b35/Josip-Juranovic,0,2,4,3,74,7,0.0,0.0,0,63.0,3.0,7.0
https://fbref.com/en/players/0a0cc13c/Sergio-Leon,0,8,22,20,9,4,0.0,0.0,0,45.0,18.0,47.0
https://fbref.com/en/players/0a16eb36/Jordi-Osei-Tutu,0,8,23,3,15,18,0.0,0.0,0,48.0,6.0,12.0
https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,0,0,7,0,0,0,0.0,0.0,0,50.0,8.0,1.0
https://fbref.com/en/players/0a3d6d2b/Chris-Richards,0,2,1,1,0,6,0.0,0.0,0,15.0,14.0,4.0
https://fbref.com/en/players/0a3f6cde/Christopher-Antwi-Adjei,0,24,40,15,63,15,1.0,0.0,0,109.0,16.0,45.0
https://fbref.com/en/players/0a447501/Antonio-Sanabria,0,33,27,14,2,5,0.0,0.0,0,64.0,86.0,124.0
https://fbref.com/en/players/0a483542/Giorgos-Kyriakopoulos,0,18,25,0,77,14,1.0,0.0,0,78.0,12.0,24.0
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,0,19,15,0,27,23,0.0,1.0,1,89.0,32.0,27.0
https://fbref.com/en/players/0a69de7b/Kike-Salas,0,4,1,0,0,1,0.0,1.0,0,14.0,9.0,6.0
https://fbref.com/en/players/0a6cb1b1/Harry-Souttar,0,5,5,1,0,9,0.0,0.0,1,45.0,38.0,6.0
https://fbref.com/en/players/0a89e877/Benjamin-Henrichs,0,37,28,3,47,46,0.0,0.0,0,169.0,22.0,14.0
https://fbref.com/en/players/0ab1f153/Juan-Cuadrado,0,33,44,2,83,34,1.0,0.0,0,115.0,11.0,13.0
https://fbref.com/en/players/0abc51f2/Jorge-Cuenca,0,4,1,0,1,7,0.0,1.0,0,28.0,15.0,7.0
https://fbref.com/en/players/0acda699/Francesco-Bardi,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
https://fbref.com/en/players/0ae4e09a/Roger-Marti,0,42,26,12,5,6,0.0,0.0,0,49.0,16.0,35.0
https://fbref.com/en/players/0af4dcf0/Cedric-Bakambu,0,2,1,0,1,1,0.0,0.0,0,5.0,4.0,3.0
https://fbref.com/en/players/0b2c8585/Raul-Guti,0,8,22,1,9,12,0.0,0.0,0,64.0,6.0,10.0
https://fbref.com/en/players/0b2c9aec/Mitchell-van-Bergen,0,10,7,3,59,8,1.0,1.0,0,56.0,5.0,8.0
https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu,0,26,3,1,13,29,0.0,0.0,1,158.0,55.0,26.0
https://fbref.com/en/players/0b45a8d7/Semir-Telalovic,0,1,0,0,0,0,0.0,0.0,0,0.0,1.0,4.0
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,2,18,15,4,54,3,2.0,0.0,0,33.0,12.0,18.0
https://fbref.com/en/players/0b4f388a/Breel-Embolo,0,50,56,14,4,9,2.0,1.0,0,59.0,33.0,47.0
https://fbref.com/en/players/0b5a292a/Mario-Rui,0,19,31,0,110,22,0.0,0.0,0,155.0,13.0,25.0
https://fbref.com/en/players/0ba976e4/Ansu-Fati,0,18,13,10,9,9,0.0,0.0,0,65.0,7.0,14.0
https://fbref.com/en/players/0bc4e720/Manu-Vallejo,0,1,6,1,7,1,2.0,0.0,0,8.0,0.0,5.0
https://fbref.com/en/players/0bdda685/Dexter-Lembikisa,0,0,0,0,1,0,0.0,0.0,0,2.0,0.0,1.0
https://fbref.com/en/players/0bdeb013/Cameron-Peupion,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0
https://fbref.com/en/players/0be276c6/Norbert-Gyomber,0,22,7,0,5,23,0.0,1.0,0,106.0,45.0,25.0
https://fbref.com/en/players/0be95d34/Romain-Del-Castillo,0,19,24,1,101,24,1.0,0.0,0,86.0,18.0,24.0
https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,0,12,14,0,113,19,0.0,0.0,0,112.0,16.0,15.0
https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,0,33,59,17,65,11,0.0,1.0,0,121.0,16.0,32.0
https://fbref.com/en/players/0c7a48f8/Piero-Hincapie,2,40,35,1,26,34,0.0,2.0,0,177.0,59.0,48.0
https://fbref.com/en/players/0c88efca/Eniss-Shabani,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0
https://fbref.com/en/players/0cadc46d/Vedat-Muriqi,0,59,39,29,11,7,1.0,0.0,0,88.0,198.0,156.0
https://fbref.com/en/players/0cbc8baa/Jean-Kevin-Duverne,0,39,20,4,85,38,2.0,0.0,0,159.0,33.0,22.0
https://fbref.com/en/players/0cc5f4a5/Lukas-Nmecha,0,6,27,8,2,3,0.0,0.0,0,19.0,17.0,19.0
https://fbref.com/en/players/0cd31129/Brennan-Johnson,0,37,21,18,58,20,1.0,0.0,0,89.0,18.0,48.0
https://fbref.com/en/players/0cf778df/Chris-Fuhrich,0,6,10,3,50,14,0.0,0.0,0,104.0,3.0,10.0
https://fbref.com/en/players/0d077b88/Mehdi-Bourabia,0,33,18,1,64,20,0.0,0.0,0,192.0,21.0,32.0
https://fbref.com/en/players/0d422df7/Marco-Silvestri,0,0,4,0,0,1,0.0,0.0,0,39.0,9.0,0.0
https://fbref.com/en/players/0d55d942/Alexander-Schwolow,0,0,4,0,0,0,0.0,0.0,0,30.0,3.0,1.0
https://fbref.com/en/players/0d7b6576/Elye-Wahi,0,32,40,26,19,3,2.0,0.0,0,47.0,20.0,78.0
https://fbref.com/en/players/0d82903c/Alex-Sandro,0,27,25,1,19,20,1.0,0.0,0,127.0,39.0,22.0
https://fbref.com/en/players/0d8a37c2/Tobias-Sippel,0,0,0,0,0,0,0.0,0.0,0,7.0,2.0,1.0
https://fbref.com/en/players/0d9b2d31/Pedri,0,8,43,4,25,22,0.0,0.0,0,134.0,3.0,5.0
https://fbref.com/en/players/0da6a13e/Theo-Bongonda,0,15,37,6,68,20,0.0,0.0,0,96.0,14.0,13.0
https://fbref.com/en/players/0db169ae/Sandro-Tonali,0,35,32,5,130,41,0.0,0.0,0,178.0,15.0,18.0
https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,0,9,4,2,3,8,0.0,0.0,1,53.0,17.0,16.0
https://fbref.com/en/players/0def2376/Warren-Bondo,0,2,3,0,0,0,0.0,0.0,0,4.0,1.0,0.0
https://fbref.com/en/players/0e0102eb/Omar-Marmoush,0,29,32,13,25,10,0.0,0.0,0,74.0,43.0,45.0
https://fbref.com/en/players/0e0d6c53/Duccio-DeglInnocenti,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
https://fbref.com/en/players/0e12089d/Maxime-Dupe,0,1,4,0,0,0,0.0,1.0,0,27.0,9.0,0.0
https://fbref.com/en/players/0e46fa2f/Matthis-Abline,0,17,15,6,8,3,2.0,0.0,0,15.0,13.0,34.0
https://fbref.com/en/players/0e4fef6e/Lucas-Torro,0,64,31,0,1,32,0.0,0.0,0,184.0,86.0,50.0
https://fbref.com/en/players/0e5ddc7c/Dani-Gomez,0,3,2,4,2,1,0.0,0.0,0,5.0,1.0,0.0
https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,0,4,7,11,3,7,0.0,0.0,0,28.0,18.0,21.0
https://fbref.com/en/players/0e7ccfc4/Sebastien-Corchia,0,16,18,1,43,6,0.0,0.0,0,52.0,12.0,10.0
https://fbref.com/en/players/0e8d7b6c/Ayman-Kari,0,1,5,1,0,0,0.0,0.0,0,12.0,1.0,1.0
https://fbref.com/en/players/0ed063d6/Yasser-Larouci,0,14,31,3,50,13,0.0,0.0,1,123.0,20.0,14.0
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,0,16,14,2,19,14,0.0,0.0,0,41.0,3.0,13.0
https://fbref.com/en/players/0f134faf/Mathias-Jensen,0,32,25,1,158,35,0.0,0.0,0,175.0,11.0,17.0
https://fbref.com/en/players/0f26ffd7/Copete,0,47,24,2,9,28,0.0,1.0,0,113.0,39.0,16.0
https://fbref.com/en/players/0f59a7bf/Anton-Stach,0,26,40,3,62,21,0.0,1.0,0,167.0,72.0,31.0
https://fbref.com/en/players/0f7533cd/Bobby-Reid,0,34,22,11,53,24,2.0,1.0,0,135.0,12.0,41.0
https://fbref.com/en/players/0f8418aa/Ibrahima-Sissoko,0,41,15,2,10,22,0.0,1.0,0,121.0,30.0,23.0
https://fbref.com/en/players/0f86995c/Hianga-Mananga-Mbock,0,1,0,0,1,0,0.0,0.0,0,2.0,1.0,1.0
https://fbref.com/en/players/0fbecd11/Dominik-Kohr,0,45,35,1,5,33,0.0,1.0,0,205.0,35.0,41.0
https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,0,5,7,0,21,5,0.0,0.0,0,37.0,0.0,4.0
https://fbref.com/en/players/0fee6bda/Martin-Erlic,0,21,12,0,2,16,0.0,0.0,1,126.0,49.0,40.0
https://fbref.com/en/players/0ff630d0/Akim-Zedadka,0,28,35,1,45,22,0.0,2.0,0,119.0,29.0,28.0
https://fbref.com/en/players/10072610/Claudio-Bravo,0,0,0,0,0,0,0.0,0.0,0,14.0,3.0,0.0
https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,0,36,8,2,8,27,0.0,1.0,1,214.0,81.0,65.0
https://fbref.com/en/players/102c9665/Alexsandro-Ribeiro,0,18,20,2,4,18,0.0,0.0,0,113.0,32.0,28.0
https://fbref.com/en/players/102e2599/Tommaso-Baldanzi,0,12,37,1,21,12,0.0,0.0,0,69.0,3.0,9.0
https://fbref.com/en/players/104b4ad3/Alberth-Elis,0,8,5,1,2,3,0.0,0.0,0,17.0,3.0,12.0
https://fbref.com/en/players/10549b49/Sardar-Azmoun,0,17,1,8,0,3,1.0,0.0,0,33.0,22.0,46.0
https://fbref.com/en/players/106c142c/Jesus-Vazquez,0,4,5,0,11,8,0.0,0.0,0,22.0,2.0,4.0
https://fbref.com/en/players/10745192/Jamie-Bynoe-Gittens,0,9,18,0,6,4,0.0,0.0,0,23.0,9.0,10.0
https://fbref.com/en/players/108fe016/Marcos-Antonio,0,9,15,0,0,6,0.0,0.0,0,42.0,0.0,4.0
https://fbref.com/en/players/10a10454/Joe-Rothwell,0,17,3,0,26,13,0.0,0.0,0,56.0,1.0,3.0
https://fbref.com/en/players/10b9fa99/Ethan-Ampadu,1,44,20,1,11,37,0.0,2.0,0,203.0,61.0,40.0
https://fbref.com/en/players/10d221cd/Daniel-Iversen,0,0,0,0,0,0,0.0,0.0,1,6.0,3.0,0.0
https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0
https://fbref.com/en/players/10dd88f9/Gaetan-Perrin,0,18,22,4,30,8,0.0,0.0,0,84.0,14.0,22.0
https://fbref.com/en/players/10e7f486/Rogerio,0,30,38,0,113,21,0.0,0.0,0,162.0,21.0,32.0
https://fbref.com/en/players/10ec4169/Alexander-Mighten,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0
https://fbref.com/en/players/10f0fdd3/Jean-Ricner-Bellegarde,0,36,73,1,123,25,3.0,1.0,0,157.0,20.0,30.0
https://fbref.com/en/players/112521d1/Pedrosa,0,3,4,1,9,1,0.0,0.0,0,18.0,1.0,1.0
https://fbref.com/en/players/1137759d/Sergi-Canos,0,3,3,0,3,0,0.0,0.0,0,6.0,0.0,1.0
https://fbref.com/en/players/114bbdee/Loic-Bade,0,16,5,0,4,21,0.0,0.0,0,101.0,36.0,29.0
https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,0,5,7,1,6,8,0.0,0.0,0,55.0,24.0,19.0
