CLUB_NAME,PLAYER_NAME,PLAYER_HREF,LEAGUE_NAME,COUNTRY_LEAGUE,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE
Arsenal FC,L. Sousa,https://www.transfermarkt.com/lino-sousa/profil/spieler/743414,Premier League,England,England,€500k
Arsenal FC,Ben White,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Premier League,England,England,€55.00m
Arsenal FC,T. Tomiyasu,https://www.transfermarkt.com/takehiro-tomiyasu/profil/spieler/331560,Premier League,England,Japan,€25.00m
Arsenal FC,C. Soares,https://www.transfermarkt.com/cedric-soares/profil/spieler/112988,Premier League,England,Portugal,€3.00m
Arsenal FC,R. Walters,https://www.transfermarkt.com/reuell-walters/profil/spieler/878160,Premier League,England,England,
Arsenal FC,T. Partey,https://www.transfermarkt.com/thomas-partey/profil/spieler/230784,Premier League,England,Ghana,€35.00m
Arsenal FC,Jorginho,https://www.transfermarkt.com/jorginho/profil/spieler/102017,Premier League,England,Italy,€25.00m
Arsenal FC,M. Elneny,https://www.transfermarkt.com/mohamed-elneny/profil/spieler/160438,Premier League,England,Egypt,€6.00m
Arsenal FC,B. Ibrahim,https://www.transfermarkt.com/bradley-ibrahim/profil/spieler/871837,Premier League,England,England,€400k
Arsenal FC,G. Xhaka,https://www.transfermarkt.com/granit-xhaka/profil/spieler/111455,Premier League,England,Switzerland,€20.00m
Arsenal FC,A. Lokonga,https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967,Premier League,England,Belgium,€15.00m
Arsenal FC,M. Smith,https://www.transfermarkt.com/matt-smith/profil/spieler/528894,Premier League,England,England,€350k
Arsenal FC,C. Cirjan,https://www.transfermarkt.com/catalin-cirjan/profil/spieler/575219,Premier League,England,Romania,€250k
Arsenal FC,M. Bandeira,https://www.transfermarkt.com/mauro-bandeira/profil/spieler/745846,Premier League,England,Portugal,
Arsenal FC,A. Maitland-Niles,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845,Premier League,England,England,€8.00m
Arsenal FC,M. Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,Premier League,England,Norway,€90.00m
Arsenal FC,E. Smith Rowe,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765,Premier League,England,England,€35.00m
Arsenal FC,F. Vieira,https://www.transfermarkt.com/fabio-vieira/profil/spieler/537598,Premier League,England,Portugal,€25.00m
Arsenal FC,E. Nwaneri,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,Premier League,England,England,
Arsenal FC,G. Martinelli,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488,Premier League,England,Brazil,€80.00m
