,CLUB_NAME,CURRENT_INTERNATIONAL,AGE,MIN_PLAYING,DIST_STANDARD,DEF 3RD_TOUCHES,ATT 3RD_TOUCHES,ATT PEN_TOUCHES,ATT_TAKE,TOTDIST_CARRIES,CPA_CARRIES,MIS_CARRIES,SUBS_SUBS,UNSUB_SUBS,PLUS_PER__MINUS__TEAM.SUCCESS,TOTDIST_TOTAL,CRSPA,FLS,FLD,OFF,CRS,WON_AERIAL,LOST_AERIAL,ATT 3RD_TACKLES,LOST_CHALLENGES,PASS_BLOCKS,TKL+INT,YEAR_BIRTH,ID,LEAGUE_COUNTRY_England,LEAGUE_COUNTRY_France,LEAGUE_COUNTRY_Germany,LEAGUE_COUNTRY_Italy,LEAGUE_COUNTRY_Spain,POSITION_Attack - Centre-Forward,POSITION_Attack - Left Winger,POSITION_Attack - Right Winger,POSITION_Attack - Second Striker,POSITION_Defender - Centre-Back,POSITION_Defender - Left-Back,POSITION_Defender - Right-Back,POSITION_midfield - Attacking Midfield,POSITION_midfield - Central Midfield,POSITION_midfield - Defensive Midfield,POSITION_midfield - Left Midfield,POSITION_midfield - Right Midfield,MACRO_POSITION_Attack,MACRO_POSITION_Defense,MACRO_POSITION_Midfield,FOOT_both,FOOT_left,FOOT_right,PLAYER_AGENT_False,PLAYER_AGENT_True,OUTFITTER_False,OUTFITTER_True
0,52,78,0.40909090909090917,0.584088914887394,0.21501706484641642,0.8374524714828897,0.10146699266503667,0.15384615384615385,0.08264462809917356,0.8448293638519435,0.02631578947368421,0.011764705882352941,0.18181818181818182,0.24,0.4868421052631579,0.9915771858876028,0.0,0.31666666666666665,0.1076923076923077,0.0,0.006896551724137931,0.4782608695652174,0.345679012345679,0.07692307692307693,0.14893617021276595,0.19047619047619047,0.28057553956834536,15,258004,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
1,52,68,0.5,0.5475285171102662,0.2627986348122867,0.5846007604562737,0.31295843520782396,0.22377622377622378,0.04132231404958678,0.5624291164037529,0.10526315789473684,0.18823529411764706,0.18181818181818182,0.16,1.0,0.7306930693069307,0.058823529411764705,0.2,0.2153846153846154,0.0625,0.10344827586206896,0.3913043478260869,0.2839506172839506,0.15384615384615385,0.0851063829787234,0.23809523809523808,0.33093525179856115,13,177476,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
2,52,32,0.5454545454545454,0.5396314711904066,0.3617747440273038,0.5171102661596958,0.2567237163814181,0.1888111888111888,0.08264462809917356,0.639344262295082,0.02631578947368421,0.09411764705882353,0.09090909090909091,0.24,0.9605263157894737,0.6791521405661692,0.0,0.16666666666666666,0.12307692307692308,0.0625,0.041379310344827586,0.358695652173913,0.19753086419753085,0.3076923076923077,0.06382978723404255,0.16666666666666666,0.2302158273381295,12,186590,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
3,52,91,0.4545454545454546,0.6686165545481135,0.4470989761092151,0.7747148288973384,0.21515892420537897,0.23776223776223776,0.09917355371900827,0.8705021136199609,0.02631578947368421,0.1411764705882353,0.2272727272727273,0.04,0.4868421052631579,0.9101659461720819,0.058823529411764705,0.4,0.18461538461538463,0.0,0.041379310344827586,0.25,0.41975308641975306,0.23076923076923078,0.2765957446808511,0.42857142857142855,0.37410071942446044,13,284730,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
4,52,88,0.5454545454545454,0.29014331675928634,0.41296928327645055,0.31844106463878324,0.20293398533007334,0.09090909090909091,0.03305785123966942,0.41396020208268897,0.0,0.03529411764705882,0.045454545454545456,0.6,0.6447368421052632,0.4080323525310277,0.0,0.08333333333333333,0.1076923076923077,0.0625,0.041379310344827586,0.2608695652173913,0.2345679012345679,0.07692307692307693,0.0851063829787234,0.14285714285714285,0.10071942446043167,12,176553,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
5,52,88,0.2272727272727273,0.10178414741152383,0.6587030716723551,0.07129277566539924,0.10635696821515893,0.06993006993006994,0.024793388429752067,0.10495927415197444,0.02631578947368421,0.08235294117647059,0.4545454545454546,0.8,0.4868421052631579,0.11362432017849672,0.0,0.016666666666666666,0.03076923076923077,0.0,0.05517241379310345,0.03260869565217391,0.12345679012345678,0.15384615384615385,0.06382978723404255,0.047619047619047616,0.07913669064748202,18,366930,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
6,52,78,0.5454545454545454,0.6683240713658964,0.6075085324232082,0.4268060836501901,0.9254278728606357,0.5944055944055944,0.1322314049586777,0.885864522115682,0.05263157894736842,0.44705882352941173,0.2272727272727273,0.16,0.9342105263157894,0.7859154929577464,0.8823529411764706,0.3833333333333333,0.5076923076923077,0.4375,0.5517241379310345,0.46739130434782605,0.2839506172839506,0.6153846153846154,0.425531914893617,0.42857142857142855,0.6187050359712231,12,182712,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
7,52,32,0.045454545454545525,0.2638198303597543,0.6245733788395905,0.12642585551330798,0.24327628361858192,0.08391608391608392,0.11570247933884298,0.2634292195071657,0.07894736842105263,0.08235294117647059,0.18181818181818182,0.92,0.631578947368421,0.2448473016315716,0.1764705882352941,0.16666666666666666,0.27692307692307694,0.0,0.034482758620689655,0.0,0.07407407407407407,0.15384615384615385,0.10638297872340426,0.09523809523809523,0.15827338129496404,22,701057,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
8,52,32,0.7272727272727273,0.5723895875987131,0.7508532423208192,0.41634980988593157,0.45232273838630804,0.1048951048951049,0.15702479338842976,0.5624291164037529,0.05263157894736842,0.16470588235294117,0.2272727272727273,0.2,0.9473684210526315,0.813749825686794,0.23529411764705882,0.25,0.15384615384615385,0.0,0.19310344827586207,0.25,0.13580246913580246,0.0,0.425531914893617,0.23809523809523808,0.22302158273381295,8,95424,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
9,52,88,0.4545454545454546,0.8511260602515356,0.48805460750853247,0.6711026615969582,0.7237163814180929,0.43356643356643354,0.30578512396694213,0.22156923394164346,0.07894736842105263,0.24705882352941178,0.09090909090909091,0.04,0.4868421052631579,0.17692093152977267,0.1764705882352941,0.7833333333333333,0.3076923076923077,0.1875,0.041379310344827586,0.7826086956521738,0.3950617283950617,0.8461538461538463,0.5531914893617021,0.6190476190476191,0.7194244604316548,14,357565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
10,52,32,0.4545454545454546,0.08745247148288973,0.6860068259385665,0.060836501901140684,0.05990220048899755,0.04195804195804196,0.01652892561983471,0.10526858439014332,0.0,0.023529411764705882,0.4545454545454546,0.6,0.4736842105263158,0.14377353228280573,0.0,0.16666666666666666,0.03076923076923077,0.0,0.0,0.05434782608695652,0.024691358024691357,0.0,0.14893617021276595,0.09523809523809523,0.07913669064748202,13,351749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
11,52,3,0.13636363636363646,0.005264697279906406,0.49146757679180886,0.0038022813688212928,0.007334963325183374,0.013986013986013986,0.0,0.0020620682544592226,0.0,0.0,0.045454545454545456,0.16,0.4868421052631579,0.0063589457537303025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,21,668547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
