,PLAYER_VALUE
0,18.197537192638155
1,17.553180176247643
2,17.50439001207821
3,17.45309671769066
4,17.034386382832476
5,16.38045991542581
6,17.72753356339242
7,16.811242831518264
8,16.38045991542581
9,18.31532022829454
10,17.281246460764002
11,16.11809565095832
12,16.811242831518264
13,18.197537192638155
14,18.064005800013632
15,16.523560759066484
16,18.51599092375669
17,18.132998671500584
18,16.811242831518264
19,19.008467408854486
20,17.909855120186375
21,17.98989782785991
22,17.034386382832476
23,15.89495209964411
24,17.553180176247643
25,17.034386382832476
26,17.822843743196746
27,17.034386382832476
28,14.914122846632385
29,17.37085861945369
30,17.034386382832476
31,15.60727002719233
32,16.811242831518264
33,16.523560759066484
34,18.31532022829454
35,17.37085861945369
36,17.034386382832476
37,18.197537192638155
38,17.37085861945369
39,18.60300230074632
40,16.70588231586044
41,16.300417207752275
42,16.300417207752275
43,18.132998671500584
44,17.034386382832476
45,17.822843743196746
46,17.50439001207821
47,16.70588231586044
48,16.523560759066484
49,16.012735135300492
50,14.508657738524219
51,17.37085861945369
52,17.37085861945369
53,16.11809565095832
54,17.98989782785991
55,15.424948470398375
56,18.197537192638155
57,16.523560759066484
58,17.45309671769066
59,17.281246460764002
60,17.034386382832476
61,16.523560759066484
62,17.909855120186375
63,17.822843743196746
64,13.815510557964274
65,17.822843743196746
66,17.72753356339242
67,16.523560759066484
68,17.034386382832476
69,16.588099280204055
70,17.14771506813948
71,15.201804919084164
72,17.72753356339242
73,17.37085861945369
74,16.811242831518264
75,16.70588231586044
76,17.553180176247643
77,16.90655301132259
78,17.50439001207821
79,17.034386382832476
80,17.50439001207821
81,17.034386382832476
82,16.90655301132259
83,16.811242831518264
84,16.38045991542581
85,13.592367006650065
86,18.132998671500584
87,18.197537192638155
88,17.622173047734595
89,17.034386382832476
90,16.70588231586044
91,17.909855120186375
92,15.60727002719233
93,16.523560759066484
94,16.523560759066484
95,16.300417207752275
96,17.45309671769066
97,17.37085861945369
98,16.90655301132259
99,16.300417207752275
100,15.201804919084164
101,17.50439001207821
102,16.70588231586044
103,17.98989782785991
104,17.553180176247643
105,16.38045991542581
106,16.90655301132259
107,16.523560759066484
108,16.300417207752275
109,16.11809565095832
110,15.761420707019587
111,14.22097566607244
112,12.765688433465597
113,16.588099280204055
114,18.132998671500584
115,17.822843743196746
116,17.72753356339242
117,17.98989782785991
118,17.98989782785991
119,16.70588231586044
120,17.909855120186375
121,16.70588231586044
122,16.523560759066484
123,16.11809565095832
124,15.761420707019587
125,16.523560759066484
126,17.50439001207821
127,16.811242831518264
128,16.11809565095832
129,16.523560759066484
130,13.304684934198283
131,17.622173047734595
132,17.50439001207821
133,16.70588231586044
134,16.70588231586044
135,15.761420707019587
136,17.72753356339242
137,17.72753356339242
138,15.60727002719233
139,18.31532022829454
140,17.686711568872166
141,17.622173047734595
142,16.11809565095832
143,15.319587954740548
144,16.38045991542581
145,16.11809565095832
146,15.60727002719233
147,16.213405830762646
148,14.914122846632385
149,14.73180128983843
150,18.064005800013632
151,17.45309671769066
152,17.034386382832476
153,13.815510557964274
154,17.553180176247643
155,15.89495209964411
156,17.37085861945369
157,17.281246460764002
158,15.60727002719233
159,17.281246460764002
160,16.523560759066484
161,18.064005800013632
162,16.588099280204055
163,17.216707939626428
164,17.034386382832476
165,16.588099280204055
166,15.424948470398375
167,12.206072645530174
168,17.281246460764002
169,16.300417207752275
170,16.11809565095832
171,18.132998671500584
172,16.300417207752275
173,15.89495209964411
174,15.60727002719233
175,17.98989782785991
176,16.300417207752275
177,15.424948470398375
178,13.997832114758229
179,12.611537753638338
180,17.281246460764002
181,16.90655301132259
182,16.90655301132259
183,17.216707939626428
184,16.11809565095832
185,15.761420707019587
186,17.034386382832476
187,16.90655301132259
188,16.811242831518264
189,15.89495209964411
190,16.523560759066484
191,16.523560759066484
192,17.034386382832476
193,13.304684934198283
194,17.216707939626428
195,16.523560759066484
196,17.553180176247643
197,17.50439001207821
198,17.111347423968603
199,15.60727002719233
200,17.14771506813948
201,16.11809565095832
202,17.14771506813948
203,16.300417207752275
204,17.50439001207821
205,16.300417207752275
206,16.300417207752275
207,17.216707939626428
208,16.90655301132259
209,14.508657738524219
210,16.90655301132259
211,16.38045991542581
212,15.60727002719233
213,16.523560759066484
214,17.50439001207821
215,16.11809565095832
216,15.424948470398375
217,14.508657738524219
218,17.622173047734595
219,16.70588231586044
220,14.22097566607244
221,13.592367006650065
222,13.815510557964274
223,16.951004773893423
224,16.811242831518264
225,17.14771506813948
226,16.454567887579532
227,16.11809565095832
228,17.034386382832476
229,16.523560759066484
230,16.300417207752275
231,15.60727002719233
232,14.508657738524219
233,16.811242831518264
234,16.523560759066484
235,16.523560759066484
236,16.300417207752275
237,14.508657738524219
238,16.300417207752275
239,16.300417207752275
240,17.034386382832476
241,16.811242831518264
242,16.11809565095832
243,17.034386382832476
244,16.811242831518264
245,14.73180128983843
246,17.034386382832476
247,17.034386382832476
248,15.761420707019587
249,13.815510557964274
250,17.909855120186375
251,17.37085861945369
