Url,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,PrgR_Progression
https://fbref.com/en/players/55634fb8/Kaiky,13,7,581,6.5,0,0,0,0,0,0,5,0,7,11,2
https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz,25,18,1673,18.6,1,0,1,1,0,0,6,0,3,49,6
https://fbref.com/en/players/86ff856b/Lazaro,19,7,716,8,6,0,6,6,0,0,1,0,23,26,59
https://fbref.com/en/players/d9235a45/Diego-Marino,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/3902e91b/Gonzalo-Melero,27,24,1855,20.6,4,3,7,3,1,1,5,0,31,97,37
https://fbref.com/en/players/1545cf15/Houboulang-Mendes,14,11,886,9.8,0,1,1,0,0,0,2,0,18,18,30
https://fbref.com/en/players/1fda2b14/Marko-Milovanovic,2,0,15,0.2,0,0,0,0,0,0,1,0,0,1,3
https://fbref.com/en/players/97852360/Fernando-Pacheco,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/8e010ff4/Francisco-Portillo,27,4,722,8,2,1,3,2,0,0,1,0,16,74,37
https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo,30,20,1880,20.9,0,3,3,0,0,0,2,0,44,64,90
https://fbref.com/en/players/39352da2/Arnau-Puigmal,22,7,763,8.5,1,0,1,1,0,0,4,0,24,16,57
https://fbref.com/en/players/cc9256ef/Largie-Ramazani,33,13,1403,15.6,3,1,4,3,0,1,6,0,59,30,94
https://fbref.com/en/players/a8981944/Lucas-Robertone,37,34,2843,31.6,2,7,9,2,0,0,7,0,47,155,97
https://fbref.com/en/players/686cbe7d/Umar-Sadiq,3,3,240,2.7,2,0,2,2,0,0,1,0,5,2,7
https://fbref.com/en/players/e4738e91/Dyego-Sousa,20,3,527,5.9,0,1,1,0,0,0,1,0,10,16,39
https://fbref.com/en/players/7978cbf0/Himad-Abdelli,30,24,2137,23.7,2,2,4,2,0,0,3,0,58,151,111
https://fbref.com/en/players/9260926b/Ibrahim-Amadou,7,4,424,4.7,0,0,0,0,0,0,2,0,0,5,5
https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,21,12,1364,15.2,0,0,0,0,0,0,2,0,8,36,19
https://fbref.com/en/players/3189f61a/Nabil-Bentaleb,30,29,2489,27.7,4,4,8,2,2,2,7,1,46,176,28
https://fbref.com/en/players/28dabd43/Paul-Bernardoni,27,27,2430,27,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/3cdfc63e/Miha-Blazic,24,22,1979,22,2,0,2,2,0,0,4,0,0,64,0
https://fbref.com/en/players/7d937aa1/Antonin-Bobichon,3,0,18,0.2,0,0,0,0,0,0,0,0,2,4,8
https://fbref.com/en/players/b0c71810/Sofiane-Boufal,13,9,834,9.3,4,3,7,2,2,2,3,1,49,56,94
https://fbref.com/en/players/7d3dfdfd/Ousmane-Camara,9,6,521,5.8,0,0,0,0,0,0,2,0,3,16,0
https://fbref.com/en/players/79b2399c/Pierrick-Capelle,26,15,1428,15.9,0,3,3,0,0,0,8,0,16,66,40
https://fbref.com/en/players/9d498560/Ilyes-Cheti,6,2,207,2.3,0,0,0,0,0,0,1,0,2,4,7
