"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2023,"Tottenham","Premier League","Fraser Forster","ENG","GK","34",1988,13.5,24,2,1,4,0,21.3,0.34,-2.7,-0.2,36,124,29,269,71,29,30.2,93,49.5,37.6,193,5,2.6,16,1.19,15.2,"https://fbref.com/en/players/c3e39f12/Fraser-Forster"
2023,"Tottenham","Premier League","Hugo Lloris","FRA","GK","35",1986,24.5,39,1,0,3,1,33.9,0.29,-4.1,-0.17,77,218,35.3,539,109,31.7,31.4,186,25.3,25.8,322,20,6.2,29,1.18,13.8,"https://fbref.com/en/players/8f62b6ee/Hugo-Lloris"
2023,"Toulouse","Ligue 1","Maxime Dupé","FRA","GK","29",1993,38,57,4,2,8,3,54.2,0.28,0.2,0.01,136,363,37.5,1006,176,24.4,29.5,264,44.7,37.2,517,30,5.8,21,0.55,10.1,"https://fbref.com/en/players/0e12089d/Maxime-Dupe"
2023,"Troyes","Ligue 1","Gauthier Gallon","FRA","GK","29",1993,29.6,65,5,0,8,2,54.9,0.29,-8.1,-0.27,107,391,27.4,707,144,35.2,33.2,241,58.9,44.4,496,33,6.7,9,0.3,8.8,"https://fbref.com/en/players/db3164e1/Gauthier-Gallon"
2023,"Troyes","Ligue 1","Mateusz Lis","POL","GK","25",1997,8.3,16,2,0,2,0,16.4,0.28,0.4,0.05,39,127,30.7,235,41,38.7,35.2,78,46.2,37.4,154,12,7.8,13,1.56,14.4,"https://fbref.com/en/players/fd78b105/Mateusz-Lis"
2023,"Udinese","Serie A","Marco Silvestri","ITA","GK","31",1991,38,48,6,2,3,2,48.7,0.31,2.7,0.07,144,380,37.9,872,142,31.9,32,302,33.8,34.1,547,13,2.4,21,0.55,12.2,"https://fbref.com/en/players/0d422df7/Marco-Silvestri"
2023,"Union Berlin","Bundesliga","Lennart Grill","GER","GK","23",1999,5,11,2,0,1,0,9,0.28,-2,-0.41,48,108,44.4,197,28,48.2,37.1,17,76.5,55.2,47,8,17,7,1.4,15.1,"https://fbref.com/en/players/37998008/Lennart-Grill"
2023,"Union Berlin","Bundesliga","Frederik Rønnow","DEN","GK","29",1992,29,27,5,0,5,0,35.2,0.26,8.2,0.28,240,605,39.7,1115,109,44.6,36.5,163,66.3,49.4,434,43,9.9,29,1,13.5,"https://fbref.com/en/players/a70b8345/Frederik-Ronnow"
2023,"Valencia","La Liga","Giorgi Mamardashvili","GEO","GK","21",2000,38,45,2,0,7,2,42.9,0.28,-0.1,0,177,522,33.9,843,142,40.8,35.1,239,74.5,54.2,457,35,7.7,47,1.24,16.3,"https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili"
2023,"Valladolid","La Liga","Álvaro Aceves","ESP","GK","19",2003,0.1,0,0,0,0,0,0.1,0.04,0.1,0.9,1,2,50,7,3,28.6,25.7,1,0,24,1,0,0,2,13.85,33,"https://fbref.com/en/players/be6faae0/Alvaro-Aceves"
2023,"Valladolid","La Liga","Sergio Asenjo","ESP","GK","33",1989,10,21,1,1,0,0,16.8,0.31,-4.2,-0.42,58,162,35.8,260,46,38.8,35.8,92,66.3,51.2,166,5,3,17,1.7,16.1,"https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo"
2023,"Valladolid","La Liga","Jordi Masip","ESP","GK","33",1989,27.9,42,5,0,0,1,45.8,0.27,4.8,0.17,133,389,34.2,722,121,36.8,35.9,239,51.5,41.9,396,15,3.8,14,0.5,12.7,"https://fbref.com/en/players/8fae77ea/Jordi-Masip"
2023,"Villarreal","La Liga","Filip Jørgensen","DEN","GK","20",2002,2,3,0,0,0,0,2.3,0.39,-0.7,-0.34,0,4,0,44,9,9.1,22.8,11,0,17.5,18,2,11.1,4,2,13.3,"https://fbref.com/en/players/0107757e/Filip-Jorgensen"
2023,"Villarreal","La Liga","Pepe Reina","ESP","GK","39",1982,22,27,4,0,3,1,28.9,0.29,2.9,0.13,64,207,30.9,736,112,22.1,28.8,118,37.3,35.7,315,15,4.8,20,0.91,14.6,"https://fbref.com/en/players/e358587b/Pepe-Reina"
2023,"Villarreal","La Liga","Gerónimo Rulli","ARG","GK","30",1992,14,10,0,0,1,0,12.5,0.23,2.5,0.18,50,119,42,451,70,19.3,28.8,92,34.8,37.9,215,20,9.3,21,1.5,15.5,"https://fbref.com/en/players/625c144a/Geronimo-Rulli"
2023,"Werder Bremen","Bundesliga","Jiří Pavlenka","CZE","GK","30",1992,32.3,61,2,0,5,2,51.9,0.29,-7.1,-0.22,198,497,39.8,893,152,40.1,36.3,279,49.8,42.9,481,22,4.6,38,1.18,14.9,"https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka"
2023,"Werder Bremen","Bundesliga","Michael Zetterer","GER","GK","27",1995,1.7,3,0,0,1,0,3.2,0.24,0.2,0.11,16,33,48.5,49,13,51,41.6,12,66.7,50.3,15,3,20,4,2.37,16.5,"https://fbref.com/en/players/9b688ae1/Michael-Zetterer"
2023,"West Ham","Premier League","Alphonse Areola","FRA","GK","29",1993,3.4,7,2,0,1,0,7.3,0.33,0.3,0.09,14,37,37.8,61,14,39.3,33.4,30,43.3,33,47,2,4.3,1,0.29,10.3,"https://fbref.com/en/players/2f965a72/Alphonse-Areola"
2023,"West Ham","Premier League","Łukasz Fabiański","POL","GK","37",1985,34.6,48,2,0,3,1,45.9,0.28,-1.1,-0.03,198,516,38.4,677,153,54.2,39.3,249,59.8,44.8,512,29,5.7,25,0.72,13,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
2023,"Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","30",1992,34,48,4,0,5,3,43.9,0.27,-1.1,-0.03,257,588,43.7,1326,183,33.3,33.7,258,57,47.5,489,29,5.9,51,1.5,16.5,"https://fbref.com/en/players/db401046/Koen-Casteels"
2023,"Wolves","Premier League","Daniel Bentley","ENG","GK","29",1993,2,3,0,0,0,0,3.9,0.3,0.9,0.44,10,29,34.5,57,14,38.6,32.9,23,30.4,32.2,37,5,13.5,1,0.5,8.3,"https://fbref.com/en/players/68db6358/Daniel-Bentley"
2023,"Wolves","Premier League","José Sá","POR","GK","29",1993,36,55,2,0,6,1,48.4,0.28,-5.6,-0.16,120,435,27.6,935,182,29.3,30.9,260,61.9,46.2,540,43,8,28,0.78,12.6,"https://fbref.com/en/players/903b6e8b/Jose-Sa"
