Url,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success
https://fbref.com/en/players/3189f61a/Nabil-Bentaleb,0.43,24,64,-40
https://fbref.com/en/players/28dabd43/Paul-Bernardoni,0.3,21,62,-41
https://fbref.com/en/players/3cdfc63e/Miha-Blazic,0.54,15,40,-25
https://fbref.com/en/players/7d937aa1/Antonin-Bobichon,0.33,0,0,0
https://fbref.com/en/players/101fc260/Theo-Borne,NA,NA,NA,NA
https://fbref.com/en/players/b0c71810/Sofiane-Boufal,0.54,12,23,-11
https://fbref.com/en/players/7d3dfdfd/Ousmane-Camara,0,5,20,-15
https://fbref.com/en/players/79b2399c/Pierrick-Capelle,0.58,8,26,-18
https://fbref.com/en/players/9d498560/Ilyes-Cheti,0.5,1,7,-6
https://fbref.com/en/players/4be0b467/Lois-Diony,1.09,5,12,-7
https://fbref.com/en/players/9daeac61/Souleyman-Doumbia,0.38,14,42,-28
https://fbref.com/en/players/9d420dad/Yahia-Fofana,0.91,12,19,-7
https://fbref.com/en/players/b9607d17/Yacine-Gaya,NA,NA,NA,NA
https://fbref.com/en/players/c5adc293/Faouzi-Ghoulam,0.86,4,7,-3
https://fbref.com/en/players/94b442c0/Noah-Guede-Nadje,NA,NA,NA,NA
https://fbref.com/en/players/00891164/Cedric-Hountondji,0.5,31,73,-42
https://fbref.com/en/players/d14229f3/Adrien-Hunou,0.5,22,53,-31
https://fbref.com/en/players/96f4ebc0/Marin-Jakolis,1,0,0,0
https://fbref.com/en/players/32e2163d/Justin-Noel-Kalumba,0.57,8,14,-6
https://fbref.com/en/players/70d4c949/Jean-Matteo-Bahoya,0.4,3,5,-2
https://fbref.com/en/players/890bc029/Jason-Mbock,0,0,2,-2
https://fbref.com/en/players/d21e361a/Farid-El-Melali,0.41,5,15,-10
https://fbref.com/en/players/e472a6f6/Batista-Mendy,0.51,25,71,-46
https://fbref.com/en/players/e0708831/Demba-NDiaye,NA,NA,NA,NA
https://fbref.com/en/players/46faabfa/Ibrahima-Niane,0.63,11,26,-15
https://fbref.com/en/players/6b4436ba/Zinedine-Ould-Khaled,0.5,0,2,-2
https://fbref.com/en/players/83299cc0/Azzedine-Ounahi,0.53,13,29,-16
https://fbref.com/en/players/79a793b7/Lilian-Raolisoa,0.57,2,4,-2
https://fbref.com/en/players/8299e363/Halid-Sabanovic,0.67,8,14,-6
https://fbref.com/en/players/bc7cc472/Amine-Salama,0.16,10,28,-18
https://fbref.com/en/players/fdbde523/Abdallah-Sima,0.47,20,44,-24
https://fbref.com/en/players/95192fe4/Waniss-Taibi,0.09,2,5,-3
https://fbref.com/en/players/f4bc42b1/Sada-Thioub,0.48,15,27,-12
https://fbref.com/en/players/531a4aa8/Yan-Valery,0.53,22,57,-35
https://fbref.com/en/players/9b67eca8/Mauro-Bandeira,NA,NA,NA,NA
https://fbref.com/en/players/3a686640/Nathan-Butler-Oyedeji,NA,NA,NA,NA
https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos,2.21,88,43,45
https://fbref.com/en/players/04eb7d82/Amario-Duberry,NA,NA,NA,NA
https://fbref.com/en/players/47a34c4f/Mohamed-Elneny,3,2,2,0
https://fbref.com/en/players/d79a8c87/Rob-Holding,2.36,17,13,4
https://fbref.com/en/players/aa81d8f8/Karl-Jakob-Hein,NA,NA,NA,NA
https://fbref.com/en/players/b66315ae/Gabriel-Jesus,2.23,53,23,30
https://fbref.com/en/players/45db685d/Jorginho,1.79,20,11,9
https://fbref.com/en/players/dc3e663e/Jakub-Kiwior,1.86,10,6,4
https://fbref.com/en/players/59878425/Marquinhos,3,0,0,0
https://fbref.com/en/players/48a5a5d6/Martinelli,2.25,72,33,39
https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson,2.09,10,3,7
https://fbref.com/en/players/a53649b7/Eddie-Nketiah,2.07,26,16,10
https://fbref.com/en/players/7f94982c/Ethan-Nwaneri,3,0,0,0
https://fbref.com/en/players/529f49ab/Thomas-Partey,2.27,69,28,41
https://fbref.com/en/players/57e3f0c7/Nicolas-Pepe,NA,NA,NA,NA
https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,2.21,88,43,45
https://fbref.com/en/players/bc7dc64d/Bukayo-Saka,2.21,79,42,37
https://fbref.com/en/players/972aeb2a/William-Saliba,2.44,61,25,36
https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga,2.5,3,3,0
https://fbref.com/en/players/54b6eed9/Matthew-Smith,NA,NA,NA,NA
https://fbref.com/en/players/17695062/Emile-Smith-Rowe,2.25,3,5,-2
https://fbref.com/en/players/839c14e1/Cedric-Soares,3,1,0,1
https://fbref.com/en/players/e09d77a2/Lino-Sousa,NA,NA,NA,NA
