Url,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,PrgP
https://fbref.com/en/players/9daeac61/Souleyman-Doumbia,762,952,11455,3777,58
https://fbref.com/en/players/9d420dad/Yahia-Fofana,227,325,6001,4360,0
https://fbref.com/en/players/c5adc293/Faouzi-Ghoulam,233,329,4360,1945,19
https://fbref.com/en/players/00891164/Cedric-Hountondji,1251,1446,24457,8657,84
https://fbref.com/en/players/d14229f3/Adrien-Hunou,572,753,8441,2005,62
https://fbref.com/en/players/96f4ebc0/Marin-Jakolis,4,7,63,31,3
https://fbref.com/en/players/32e2163d/Justin-Noel-Kalumba,131,164,1867,498,10
https://fbref.com/en/players/70d4c949/Jean-Matteo-Bahoya,69,82,956,120,3
https://fbref.com/en/players/890bc029/Jason-Mbock,6,10,107,55,1
https://fbref.com/en/players/d21e361a/Farid-El-Melali,196,282,3348,952,24
https://fbref.com/en/players/e472a6f6/Batista-Mendy,1234,1432,22322,7144,195
https://fbref.com/en/players/46faabfa/Ibrahima-Niane,175,232,2553,471,24
https://fbref.com/en/players/6b4436ba/Zinedine-Ould-Khaled,34,36,514,128,5
https://fbref.com/en/players/83299cc0/Azzedine-Ounahi,542,630,8826,2723,87
https://fbref.com/en/players/79a793b7/Lilian-Raolisoa,98,119,1631,387,10
https://fbref.com/en/players/8299e363/Halid-Sabanovic,228,280,3332,1097,20
https://fbref.com/en/players/bc7cc472/Amine-Salama,236,321,3246,780,21
https://fbref.com/en/players/fdbde523/Abdallah-Sima,274,374,3603,688,21
https://fbref.com/en/players/95192fe4/Waniss-Taibi,134,150,2006,531,16
https://fbref.com/en/players/f4bc42b1/Sada-Thioub,427,533,6580,2287,57
https://fbref.com/en/players/531a4aa8/Yan-Valery,950,1292,16786,6797,84
https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos,2155,2411,38355,13522,153
https://fbref.com/en/players/47a34c4f/Mohamed-Elneny,57,60,1031,224,2
https://fbref.com/en/players/d79a8c87/Rob-Holding,382,442,7494,2701,24
https://fbref.com/en/players/b66315ae/Gabriel-Jesus,561,699,8525,1644,64
https://fbref.com/en/players/45db685d/Jorginho,641,736,10809,3031,99
https://fbref.com/en/players/dc3e663e/Jakub-Kiwior,177,205,3030,924,6
https://fbref.com/en/players/59878425/Marquinhos,2,3,34,5,0
https://fbref.com/en/players/48a5a5d6/Martinelli,833,1107,12960,2610,94
https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson,101,120,1331,213,6
https://fbref.com/en/players/a53649b7/Eddie-Nketiah,205,255,2894,350,15
https://fbref.com/en/players/7f94982c/Ethan-Nwaneri,0,0,0,0,0
https://fbref.com/en/players/529f49ab/Thomas-Partey,1731,1985,30132,9207,231
https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,761,1111,18974,13109,8
https://fbref.com/en/players/bc7dc64d/Bukayo-Saka,1054,1430,15405,3694,109
https://fbref.com/en/players/972aeb2a/William-Saliba,1698,1865,29692,11617,99
https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga,132,140,2321,539,12
https://fbref.com/en/players/17695062/Emile-Smith-Rowe,74,85,1070,240,7
https://fbref.com/en/players/839c14e1/Cedric-Soares,19,24,257,54,3
https://fbref.com/en/players/fce2302c/Kieran-Tierney,362,486,6636,2048,36
https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu,384,474,6453,2036,51
